row_label_raw,row_label_full,col_0,Vốn điều lệ,Thặng dư vốn cổ phần,Vốn khác,Quỹ của tổ chức tín dụng,Quỹ của tổ chức tín dụng_1,Quỹ của tổ chức tín dụng_2,Quỹ của tổ chức tín dụng_3,Chênh lệch tỷ giá hối doái,Lợi nhuận chưa phân phối,Lợi ích của cổ đông không kiểm soát,Tổng cộng,numeric__Vốn điều lệ,numeric__Thặng dư vốn cổ phần,numeric__Vốn khác,numeric__Quỹ của tổ chức tín dụng,numeric__Quỹ của tổ chức tín dụng_1,numeric__Quỹ của tổ chức tín dụng_2,numeric__Quỹ của tổ chức tín dụng_3,numeric__Chênh lệch tỷ giá hối doái,numeric__Lợi nhuận chưa phân phối,numeric__Lợi ích của cổ đông không kiểm soát,numeric__Tổng cộng
,,,Triệu VND,Triệu VND,Triệu VND,Quỹ dự trữ bổ sung vốn điều lệ Triệu VND,Quỹ dự phòng tài chính Triệu VND,Quỹ đầu tư phát triển Triệu VND,Tổng cộng,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,,,,
Số dư tại ngày 1/1/2025,Số dư tại ngày 1/1/2025,Số dư tại ngày 1/1/2025,55.890.913,4.995.389,809.837,14.092.273,21.603.058,1.357.643,37.052.974,(968.292),98.332.086,96.261,196.209.168,55890913.0,4995389.0,809837.0,14092273.0,21603058.0,1357643.0,37052974.0,-968292.0,98332086.0,96261.0,196209168.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,-,-,35.177.663,20.277,35.197.940,,,,,,,,,35177663.0,20277.0,35197940.0
Tạm trích các quỹ trong năm 2025 của Ngân hàng,Tạm trích các quỹ trong năm 2025 của Ngân hàng,Tạm trích các quỹ trong năm 2025 của Ngân hàng,-,-,-,3.450.667,-,7.764.001,11.214.668,-,(11.214.668),-,-,,,,3450667.0,,7764001.0,11214668.0,,-11214668.0,,
"Tạm trích quỹ khen thưởng, phúc lợi trong năm 2025 của Ngân hàng","Tạm trích quỹ khen thưởng, phúc lợi trong năm 2025 của Ngân hàng","Tạm trích quỹ khen thưởng, phúc lợi trong năm 2025 của Ngân hàng",-,-,-,-,-,-,-,-,(2.974.260),-,(2.974.260),,,,,,,,,-2974260.0,,-2974260.0
Trích quỹ của các công ty con,Trích quỹ của các công ty con,Trích quỹ của các công ty con,-,-,-,6.902,6.212,-,13.114,-,(14.665),-,(1.551),,,,6902.0,6212.0,,13114.0,,-14665.0,,-1551.0
Điều chính của Công ty con theo Nghị quyết,Điều chính của Công ty con theo Nghị quyết,Điều chính của Công ty con theo Nghị quyết,-,-,-,(548),5.245,2.916,7.613,-,(65.107),(731),(58.225),,,,-548.0,5245.0,2916.0,7613.0,,-65107.0,-731.0,-58225.0
"Điều chính công ty liên doanh, liên kết theo phương pháp vốn chủ sở hữu","Điều chính công ty liên doanh, liên kết theo phương pháp vốn chủ sở hữu","Điều chính công ty liên doanh, liên kết theo phương pháp vốn chủ sở hữu",-,-,-,-,-,-,-,-,(11.299),-,(11.299),,,,,,,,,-11299.0,,-11299.0
Trả cổ tức,Trả cổ tức,Trả cổ tức,-,-,-,-,-,-,-,-,(3.760.054),(16.744),(3.776.798),,,,,,,,,-3760054.0,-16744.0,-3776798.0
Phát hành cổ phiếu thưởng tăng vốn trong năm,Phát hành cổ phiếu thưởng tăng vốn trong năm,Phát hành cổ phiếu thưởng tăng vốn trong năm,27.665.838,-,-,-,-,-,-,-,(27.665.838),-,-,27665838.0,,,,,,,,-27665838.0,,
Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,-,-,-,-,(607),-,(607),-,-,-,(607),,,,,-607.0,,-607.0,,,,-607.0
Chênh lệch tỷ giá,Chênh lệch tỷ giá,Chênh lệch tỷ giá,-,-,-,-,-,-,-,49.616,-,958,50.574,,,,,,,,49616.0,,958.0,50574.0
Biến động khác,Biến động khác,Biến động khác,-,-,-,-,-,(66.500),(66.500),-,18.784,(28.500),(76.216),,,,,,-66500.0,-66500.0,,18784.0,-28500.0,-76216.0
Số dư tại ngày 31/12/2025,Số dư tại ngày 31/12/2025,Số dư tại ngày 31/12/2025,83.556.751,4.995.389,809.837,17.549.294,21.613.908,9.058.060,48.221.262,(918.676),87.822.642,71.521,224.558.726,83556751.0,4995389.0,809837.0,17549294.0,21613908.0,9058060.0,48221262.0,-918676.0,87822642.0,71521.0,224558726.0
