row_label_raw,row_label_full,1,Bảo lãnh vay vốn,col_2,5.884.776,286.899,numeric__Bảo lãnh vay vốn,numeric__col_2,numeric__5.884.776,numeric__286.899
2,2,2,Cam kết giao dịch hối đoái,,214.549.855,345.715.424,,,214549855.0,345715424.0
2,2,2,Cam kết mua ngoại tệ,,5.273.045,2.420.843,,,5273045.0,2420843.0
2,2,2,Cam kết bán ngoại tệ,,5.264.724,2.429.276,,,5264724.0,2429276.0
2,2,2,Cam kết giao dịch hoán đổi,,204.012.086,340.865.305,,,204012086.0,340865305.0
4,4,4,Cam kết trong nghiệp vụ thư tín dụng,,59.885.411,49.750.002,,,59885411.0,49750002.0
5,5,5,Bảo lãnh khác,,93.208.941,58.052.470,,,93208941.0,58052470.0
6,6,6,Các cam kết khác,,32.319.442,34.816.276,,,32319442.0,34816276.0
7,7,7,Lãi cho vay và phí phải thu chưa thu được,45,2.106.463,2.788.354,,45.0,2106463.0,2788354.0
8,8,8,Nợ khó đòi đã xử lý,46,83.546.262,74.144.216,,46.0,83546262.0,74144216.0
9,9,9,Tải sản và chứng từ khác,47,682.580.395,534.590.122,,47.0,682580395.0,534590122.0
