row_label_raw,row_label_full,STT,Chỉ tiêu,Thuyết minh,2025Triệu VND,2024Triệu VND,numeric__Chỉ tiêu,numeric__Thuyết minh,numeric__2025Triệu VND,numeric__2024Triệu VND
1,1,1,Thu nhập lãi và các khoản thu nhập tương tự,23,105.216.484,93.654.841,,23.0,105216484.0,93654841.0
2,2,2,Chi phí lãi và các chi phí tương tự,24,(46.445.074),(38.249.106),,24.0,-46445074.0,-38249106.0
I,I,I,Thu nhập lãi thuần,,58.771.410,55.405.735,,,58771410.0,55405735.0
3,3,3,Thu nhập từ hoạt động dịch vụ,,11.854.532,13.143.005,,,11854532.0,13143005.0
4,4,4,Chi phí hoạt động dịch vụ,,(8.384.665),(8.006.444),,,-8384665.0,-8006444.0
II,II,II,Lãi thuần từ hoạt động dịch vụ,25,3.469.867,5.136.561,,25.0,3469867.0,5136561.0
III,III,III,Lãi thuần từ hoạt động kinh doanh ngoại hối,26,6.165.112,5.291.751,,26.0,6165112.0,5291751.0
IV,IV,IV,Lãi thuần từ mua bán chứng khoán kinh doanh,27,171.160,62.123,,27.0,171160.0,62123.0
V,V,V,Lãi thuần từ mua bán chứng khoán đầu tư,28,3.616,3.444,,28.0,3616.0,3444.0
5,5,5,Thu nhập từ hoạt động khác,,5.269.108,4.468.806,,,5269108.0,4468806.0
6,6,6,Chi phí hoạt động khác,,(1.677.513),(2.097.103),,,-1677513.0,-2097103.0
VI,VI,VI,Lãi thuần từ hoạt động khác,29,3.591.595,2.371.703,,29.0,3591595.0,2371703.0
VII,VII,VII,"Thu nhập từ góp vốn, mua cổ phần",30,281.862,307.179,,30.0,281862.0,307179.0
VII,VII,VII,TỔNG THU NHẬP HOẠT ĐỘNG,,72.454.622,68.578.496,,,72454622.0,68578496.0
VIII,VIII,VIII,CHI PHÍ HOẠT ĐỘNG,31,(25.242.799),(23.027.363),,31.0,-25242799.0,-23027363.0
IX,IX,IX,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,,47.211.823,45.551.133,,,47211823.0,45551133.0
X,X,X,Chi phí dự phòng rủi ro tín dụng,32,(3.192.186),(3.314.998),,32.0,-3192186.0,-3314998.0
XI,XI,XI,TỔNG LỢI NHUẬN TRƯỚC THUẾ (MANG SANG TRANG SAU),,44.019.637,42.236.135,,,44019637.0,42236135.0
