row_label_raw,row_label_full,Loại tiền gửi,31/12/2025,31/12/2024,numeric__31/12/2025,numeric__31/12/2024
Tiền gửi bằng LAK,Tiền gửi bằng LAK,Tiền gửi bằng LAK,8%,8%,0.08,0.08
Tiền gửi bằng ngoại tệ khác,Tiền gửi bằng ngoại tệ khác,Tiền gửi bằng ngoại tệ khác,11%,11%,0.11,0.11
