row_label_raw,row_label_full,col_0,col_1,31/12/2025Triệu VND,31/12/2024Triệu VND,col_4,col_5,numeric__col_1,numeric__31/12/2025Triệu VND,numeric__31/12/2024Triệu VND,numeric__col_4,numeric__col_5
"Các khoản phải trả cán bộ, công nhân viên","Các khoản phải trả cán bộ, công nhân viên","Các khoản phải trả cán bộ, công nhân viên","Các khoản phải trả cán bộ, công nhân viên",4.878.293,4.838.567,,,,4878293.0,4838567.0,,
Các khoản phải trả khác,Các khoản phải trả khác,Các khoản phải trả khác,Các khoản phải trả khác,740.559,836.562,,,,740559.0,836562.0,,
,,,,5.618.852,5.675.129,,,,5618852.0,5675129.0,,
(ii),(ii),(ii),Các khoản phải trả bên ngoài,Các khoản phải trả bên ngoài,Các khoản phải trả bên ngoài,,,,,,,
(ii),(ii),(ii),Các khoản phải trả bên ngoài,Các khoản phải trả bên ngoài,Các khoản phải trả bên ngoài,31/12/2025Triệu VND,31/12/2024Triệu VND,,,,,
(ii),(ii),(ii),Các khoản phải trả bên ngoài,Các khoản phải trả bên ngoài,Các khoản phải trả bên ngoài,31/12/2025Triệu VND,31/12/2024Triệu VND,,,,,
(ii),(ii),(ii),Các khoản phải trả bên ngoài,Các khoản phải trả bên ngoài,Các khoản phải trả bên ngoài,31/12/2025Triệu VND,31/12/2024Triệu VND,,,,,
(ii),(ii),(ii),Các khoản phải trả bên ngoài,Các khoản phải trả bên ngoài,Các khoản phải trả bên ngoài,31/12/2025Triệu VND,31/12/2024Triệu VND,,,,,
(ii),(ii),(ii),Các khoản phải trả bên ngoài,Các khoản phải trả bên ngoài,Các khoản phải trả bên ngoài,31/12/2025Triệu VND,31/12/2024Triệu VND,,,,,
(ii),(ii),(ii),Các khoản phải trả bên ngoài,Các khoản phải trả bên ngoài,Các khoản phải trả bên ngoài,31/12/2025Triệu VND,31/12/2024Triệu VND,,,,,
(ii),(ii),(ii),Các khoản phải trả bên ngoài,Các khoản phải trả bên ngoài,Các khoản phải trả bên ngoài,31/12/2025Triệu VND,31/12/2024Triệu VND,,,,,
(ii),(ii),(ii),Các khoản phải trả bên ngoài,Các khoản phải trả bên ngoài,Các khoản phải trả bên ngoài,31/12/2025Triệu VND,31/12/2024Triệu VND,,,,,
