row_label_raw,row_label_full,Công ty liên doanh,Giấy phép hoạt động,Lĩnh vực kinh doanh,Tỷ lệ phần vốn sở hữu của Ngân hàng,numeric__Giấy phép hoạt động,numeric__Lĩnh vực kinh doanh,numeric__Tỷ lệ phần vốn sở hữu của Ngân hàng
Công ty Liên doanh TNHH Vietcombank-Bonday-Benthanh,Công ty Liên doanh TNHH Vietcombank-Bonday-Benthanh,Công ty Liên doanh TNHH Vietcombank-Bonday-Benthanh,Giấy phép đầu tư lần đầu số 2458/GP ngày 7 tháng 2 năm 2005 và Giấy chứng nhận đăng ký đầu tư gần nhất số 9803297175 ngày 3 tháng 12 năm 2018 do Bộ Kế hoạch và Đầu tư cấp,Cho thuê văn phòng,52%,,,0.52
Công ty TNHH Quản lý Quỹ đầu tư Chứng khoán Vietcombank,Công ty TNHH Quản lý Quỹ đầu tư Chứng khoán Vietcombank,Công ty TNHH Quản lý Quỹ đầu tư Chứng khoán Vietcombank,Giấy phép Thành lập và Hoạt động số 06/UBCK-GPHDQLQ do UBCKNN cấp ngày 2 tháng 12 năm 2005 và Giấy phép điều chỉnh lần gần đây nhất số 05/GPĐC-UBCK ngày 13 tháng 1 năm 2026,Quản lý quỹ đầu tư,51%,,,0.51
