row_label_raw,row_label_full,col_0,31/12/2025 > Giá trịhợp đồng,31/12/2025 > Giá trịghi sổ,31/12/2024 > Giá trịhợp đồng,31/12/2024 > Giá trịghi sổ,numeric__31/12/2025 > Giá trịhợp đồng,numeric__31/12/2025 > Giá trịghi sổ,numeric__31/12/2024 > Giá trịhợp đồng,numeric__31/12/2024 > Giá trịghi sổ
,,,Tài sản/(Công nợ),Tài sản/(Công nợ),Tài sản/(Công nợ),Tài sản/(Công nợ),,,,
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,
Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,,,,
Hợp đồng hoán đổi tiền tệ,Hợp đồng hoán đổi tiền tệ,Hợp đồng hoán đổi tiền tệ,204.012.086(199.035),384.075(9.157),340.865.305(16.245.514),1.328.364(13.930),,,,
Hợp đồng kỳ hạn tiền tệ,Hợp đồng hoán đổi tiền tệ > Hợp đồng kỳ hạn tiền tệ,Hợp đồng kỳ hạn tiền tệ,203.813.051,374.918,324.619.791,1.314.434,203813051.0,374918.0,324619791.0,1314434.0
