row_label_raw,row_label_full,Năm kết thúc ngày 31 tháng 12 năm 2025:,Năm kết thúc ngày 31 tháng 12 năm 2025:_1,Miền Bắc (*)Triệu VND,Miền Trungvà Tây NguyễnTriệu VND,Miền NamTriệu VND,Nước ngoàiTriệu VND,Loại trừTriệu VND,Tổng cộngTriệu VND,numeric__Năm kết thúc ngày 31 tháng 12 năm 2025:_1,numeric__Miền Bắc (*)Triệu VND,numeric__Miền Trungvà Tây NguyễnTriệu VND,numeric__Miền NamTriệu VND,numeric__Nước ngoàiTriệu VND,numeric__Loại trừTriệu VND,numeric__Tổng cộngTriệu VND
1,1,1,Thu nhập lãi và các khoản thu nhập tương tự,144.326.832(119.062.855),21.439.288(13.169.344),66.220.323(41.104.711),228.936(107.059),(126.998.895)126.998.895,105.216.484(46.445.074),,,,,,,
2,2,2,Chỉ phí lãi và các chỉ phí tương tự,144.326.832(119.062.855),21.439.288(13.169.344),66.220.323(41.104.711),228.936(107.059),(126.998.895)126.998.895,105.216.484(46.445.074),,,,,,,
I,2 > I,I,Thu nhập lãi thuần,25.263.977,8.269.944,25.115.612,121.877,-,58.771.410,,25263977.0,8269944.0,25115612.0,121877.0,,58771410.0
3,2 > 3,3,Thu nhập từ hoạt động dịch vụ,7.693.251,855.239,3.383.379,108.977,(186.314),11.854.532,,7693251.0,855239.0,3383379.0,108977.0,-186314.0,11854532.0
4,2 > 4,4,Chỉ phí hoạt động dịch vụ,(8.136.386),(55.962),(195.090),(29.772),32.545,(8.384.665),,-8136386.0,-55962.0,-195090.0,-29772.0,32545.0,-8384665.0
II,2 > II,II,Lãi thuần từ hoạt động dịch vụ,(443.135),799.277,3.188.289,79.205,(153.769),3.469.867,,-443135.0,799277.0,3188289.0,79205.0,-153769.0,3469867.0
III,2 > III,III,Lãi thuần từ hoạt động kinh doanh ngoại hối,4.495.571,206.729,1.452.087,11.539,(814),6.165.112,,4495571.0,206729.0,1452087.0,11539.0,-814.0,6165112.0
IV,2 > IV,IV,Lãi thuần từ mua bán chứng khoán kinh doanh,171.160,-,-,-,-,171.160,,171160.0,,,,,171160.0
V,2 > V,V,Lãi thuần từ mua bán chứng khoán đầu tư,3.616,-,-,-,-,3.616,,3616.0,,,,,3616.0
5,2 > 5,5,Thu nhập từ hoạt động khác,2.483.093,570.587,2.212.041,3.387,-,5.269.108,,2483093.0,570587.0,2212041.0,3387.0,,5269108.0
6,2 > 6,6,Chỉ phí hoạt động khác,(1.345.841),(77.175),(254.497),-,-,(1.677.513),,-1345841.0,-77175.0,-254497.0,,,-1677513.0
VI,2 > VI,VI,Lãi thuần từ hoạt động khác,1.137.252,493.412,1.957.544,3.387,-,3.591.595,,1137252.0,493412.0,1957544.0,3387.0,,3591595.0
VII,2 > VII,VII,"Thu nhập từ góp vốn, mua cổ phần",281.862,-,-,-,-,281.862,,281862.0,,,,,281862.0
,,,Tổng thu nhập hoạt động,30.910.303,9.769.362,31.713.532,216.008,(154.583),72.454.622,,30910303.0,9769362.0,31713532.0,216008.0,-154583.0,72454622.0
VIII,2 > VIII,VIII,Chỉ phí hoạt động,(15.244.202),(2.529.481),(7.497.389),(125.496),153.769,(25.242.799),,-15244202.0,-2529481.0,-7497389.0,-125496.0,153769.0,-25242799.0
IX,2 > IX,IX,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,15.666.101,7.239.881,24.216.143,90.512,(814),47.211.823,,15666101.0,7239881.0,24216143.0,90512.0,-814.0,47211823.0
X,2 > X,X,Hoàn nhập/(trích lập) chi phí dự phòng rủi ro tín dụng,1.939.138,(1.089.809),(4.028.973),(12.542),-,(3.192.186),,1939138.0,-1089809.0,-4028973.0,-12542.0,,-3192186.0
XI,2 > XI,XI,Tổng lợi nhuận trước thuế,17.605.239,6.150.072,20.187.170,77.970,(814),44.019.637,,17605239.0,6150072.0,20187170.0,77970.0,-814.0,44019637.0
7,2 > 7,7,Chỉ phí thuế TNDN hiện hành,(2.564.228),(1.230.014),(4.036.856),(11.899),-,(7.842.997),,-2564228.0,-1230014.0,-4036856.0,-11899.0,,-7842997.0
8,2 > 8,8,Chỉ phí thuế TNDN hoãn lại,(978.700),-,-,-,-,(978.700),,-978700.0,,,,,-978700.0
XII,2 > XII,XII,Chỉ phí thuế TNDN,(3.542.928),(1.230.014),(4.036.856),(11.899),-,(8.821.697),,-3542928.0,-1230014.0,-4036856.0,-11899.0,,-8821697.0
XIII,2 > XIII,XIII,Lợi nhuận sau thuế,14.062.311,4.920.058,16.150.314,66.071,(814),35.197.940,,14062311.0,4920058.0,16150314.0,66071.0,-814.0,35197940.0
