row_label_raw,row_label_full,col_0,col_1,VNDTriệu VND,USDTriệu VND,EURTriệu VND,Tiền tệ khácTriệu VND,Tổng cộngTriệu VND,numeric__col_1,numeric__VNDTriệu VND,numeric__USDTriệu VND,numeric__EURTriệu VND,numeric__Tiền tệ khácTriệu VND,numeric__Tổng cộngTriệu VND
,,,,VNDTriệu VND,USDTriệu VND,EURTriệu VND,Tiền tệ khácTriệu VND,Tổng cộngTriệu VND,,,,,,
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,
I,Tài sản > I,I,"Tiền mặt, vàng bạc, đá quý",12.340.596,2.534.125,328.688,339.360,15.542.769,,12340596.0,2534125.0,328688.0,339360.0,15542769.0
II,Tài sản > II,II,Tiền gửi tại NHNN,36.414.708,900.092,5.289,125.415,37.445.504,,36414708.0,900092.0,5289.0,125415.0,37445504.0
III,Tài sản > III,III,Tiền gửi và cho vay các TCTD khác – gộp,329.248.343,150.888.557,5.771.830,36.565.632,522.474.362,,329248343.0,150888557.0,5771830.0,36565632.0,522474362.0
IV,Tài sản > IV,IV,Chứng khoán kinh doanh – gộp,11.900.000,-,-,-,11.900.000,,11900000.0,,,,11900000.0
V,Tài sản > V,V,Các công cụ tài chính phải sinh và các tài sản tài chính khác,39.855.992,(34.970.484),(255.869),(4.254.721),374.918,,39855992.0,-34970484.0,-255869.0,-4254721.0,374918.0
VI,Tài sản > VI,VI,Cho vay khách hàng – gộp,1.534.890.712,136.259.809,1.120.656,1.254.498,1.673.525.675,,1534890712.0,136259809.0,1120656.0,1254498.0,1673525675.0
VII,Tài sản > VII,VII,Chứng khoán đầu tư – gộp,158.624.348,6.841.431,-,-,165.465.779,,158624348.0,6841431.0,,,165465779.0
VIII,Tài sản > VIII,VIII,"Góp vốn, đầu tư dài hạn – gộp",2.335.727,-,-,-,2.335.727,,2335727.0,,,,2335727.0
IX,Tài sản > IX,IX,Tài sản cố định,8.106.296,39.201,-,17.815,8.163.312,,8106296.0,39201.0,,17815.0,8163312.0
X,Tài sản > X,X,Tài sản Có khác – gộp,32.712.765,771.274,2.211,62.293,33.548.543,,32712765.0,771274.0,2211.0,62293.0,33548543.0
,,,Tổng tài sản,2.166.429.487,263.264.005,6.972.805,34.110.292,2.470.776.589,,2166429487.0,263264005.0,6972805.0,34110292.0,2470776589.0
,,,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,
I,Tài sản > I,I,Các khoản nợ Chính phủ và NHNN và tiền gửi và vay các TCTD khác,435.688.666,16.525.782,1.357.600,27.714.379,481.286.427,,435688666.0,16525782.0,1357600.0,27714379.0,481286427.0
II,Tài sản > II,II,Tiền gửi của khách hàng,1.422.020.290,239.736.104,5.298.505,5.479.947,1.672.534.846,,1422020290.0,239736104.0,5298505.0,5479947.0,1672534846.0
V,Tài sản > V,V,Phát hành giấy tờ có giá,27.101.171,50,-,-,27.101.221,,27101171.0,50.0,,,27101221.0
VI,Tài sản > VI,VI,Các khoản nợ phải trả khác,34.210.476,2.319.860,141.769,125.841,36.797.946,,34210476.0,2319860.0,141769.0,125841.0,36797946.0
,,,Tổng nợ phải trả,1.919.020.603,258.581.796,6.797.874,33.320.167,2.217.720.440,,1919020603.0,258581796.0,6797874.0,33320167.0,2217720440.0
,,,Trạng thái tiền tệ nội bảng,247.408.884,4.682.209,174.931,790.125,253.056.149,,247408884.0,4682209.0,174931.0,790125.0,253056149.0
