row_label_raw,row_label_full,STT,Chỉ tiêu,2025Triệu VND,2024Triệu VND,numeric__Chỉ tiêu,numeric__2025Triệu VND,numeric__2024Triệu VND
,,,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,
01,01,01,Mua sắm tài sản cố định,(1.453.488),(1.480.121),,-1453488.0,-1480121.0
02,02,02,"Tiền thu từ thanh lý, nhượng bán tài sản cố định",17.231,12.504,,17231.0,12504.0
03,03,03,"Tiền chi cho thanh lý, nhượng bán tài sản cố định",(1.288),(1.252),,-1288.0,-1252.0
04,04,04,"Tiền chi đầu tư, góp vốn vào các đơn vị khác",(60.167),-,,-60167.0,
08,08,08,"Tiền thu đầu tư, góp vốn vào các đơn vị khác",-,747,,,747.0
09,09,09,"Tiền thu cổ tức và lợi nhuận được chia từ các khoảnđầu tư, góp vốn dài hạn",118.576,160.709,,118576.0,160709.0
II,II,II,Lưu chuyển tiền thuần cho hoạt động đầu tư,(1.379.136),(1.307.413),,-1379136.0,-1307413.0
,,,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,
04,04,04,"Cổ tức trả cho cổ đông, lợi nhuận đã chia",(3.776.798),(19.963),,-3776798.0,-19963.0
III,III,III,Lưu chuyển tiền thuần cho hoạt động tài chính,(3.776.798),(19.963),,-3776798.0,-19963.0
IV,IV,IV,Lưu chuyển tiền thuần trong năm,111.074.617,57.795.455,,111074617.0,57795455.0
V,V,V,Tiền và các khoản tương đương tiền tại thời điểmđầu năm,430.614.185,372.818.730,,430614185.0,372818730.0
VII,VII,VII,Tiền và các khoản tương đương tiền tại thời điểm cuối năm (Thuyết minh 35),541.688.802,430.614.185,,541688802.0,430614185.0
