row_label_raw,row_label_full,col_0,Ngày 31 tháng 1năm 202%/năr,Ngày 31 tháng 12năm 2019%/năm,numeric__Ngày 31 tháng 1năm 202%/năr,numeric__Ngày 31 tháng 12năm 2019%/năm
Tiền gửi KKH bằng VND,Tiền gửi KKH bằng VND,Tiền gửi KKH bằng VND,"0,2","0,00 - 0,40",0.2,
Tiền gửi tiết kiệm KKH bằng VND,Tiền gửi tiết kiệm KKH bằng VND,Tiền gửi tiết kiệm KKH bằng VND,"0,0","0,00",0.0,0.0
Tiền gửi KKH bằng ngoại tệ,Tiền gửi KKH bằng ngoại tệ,Tiền gửi KKH bằng ngoại tệ,"0,0","0,00",0.0,0.0
Tiền gửi tiết kiệm KKH bằng ngoại tệ,Tiền gửi tiết kiệm KKH bằng ngoại tệ,Tiền gửi tiết kiệm KKH bằng ngoại tệ,"0,0","0,00",0.0,0.0
Tiền gửi CKH bằng VND,Tiền gửi CKH bằng VND,Tiền gửi CKH bằng VND,"0,20 - 8,3","0,50 - 8,50",,
Tiền gửi tiết kiệm CKH bằng VND,Tiền gửi tiết kiệm CKH bằng VND,Tiền gửi tiết kiệm CKH bằng VND,"0,20 - 12,0","0,80 - 12,10",,
Tiền gửi CKH bằng ngoại tệ,Tiền gửi tiết kiệm CKH bằng VND > Tiền gửi CKH bằng ngoại tệ,Tiền gửi CKH bằng ngoại tệ,"0,0","0,00",0.0,0.0
Tiền gửi tiết kiệm CKH bằng ngoại tệ,Tiền gửi tiết kiệm CKH bằng VND > Tiền gửi tiết kiệm CKH bằng ngoại tệ,Tiền gửi tiết kiệm CKH bằng ngoại tệ,"0,0","0,00 - 5,95",0.0,
