row_label_raw,row_label_full,col_0,Nhà cửa và quyền sử dụng đất có thời hạn VND,Quyền sử dụng đất không thời hạn VND,Tổng cộng VND,numeric__Nhà cửa và quyền sử dụng đất có thời hạn VND,numeric__Quyền sử dụng đất không thời hạn VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số đầu năm và cuối năm,Nguyên giá > Số đầu năm và cuối năm,Số đầu năm và cuối năm,58.066,15.964,74.030,58066.0,15964.0,74030.0
Khấu hao và hao mòn lũy kế,Khấu hao và hao mòn lũy kế,Khấu hao và hao mòn lũy kế,Khấu hao và hao mòn lũy kế,Khấu hao và hao mòn lũy kế,Khấu hao và hao mòn lũy kế,,,
Số đầu năm,Khấu hao và hao mòn lũy kế > Số đầu năm,Số đầu năm,2.803,,2.803,2803.0,,2803.0
Khấu hao trong năm,Khấu hao và hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,1.247,,1.247,1247.0,,1247.0
Số cuối năm,Khấu hao và hao mòn lũy kế > Số cuối năm,Số cuối năm,4.050,,4.050,4050.0,,4050.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,55.263,15.964,71.227,55263.0,15964.0,71227.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,54.016,15.964,69.980,54016.0,15964.0,69980.0
