row_label_raw,row_label_full,col_0,Dự phòngcụ thểTriệu đồng,Dự phòngchungTriệu đồng,Tổng cộngTriệu đồng,numeric__Dự phòngcụ thểTriệu đồng,numeric__Dự phòngchungTriệu đồng,numeric__Tổng cộngTriệu đồng
Ngày 1 tháng 1 năm 2019,Ngày 1 tháng 1 năm 2019,Ngày 1 tháng 1 năm 2019,298.382,348.736,647.118,298382.0,348736.0,647118.0
Số trích lập dự phòng rủi ro,Số trích lập dự phòng rủi ro,Số trích lập dự phòng rủi ro,134.218,59.510,193.728,134218.0,59510.0,193728.0
Tăng dự phòng do thanh lý trái phiếu VAMC,Tăng dự phòng do thanh lý trái phiếu VAMC,Tăng dự phòng do thanh lý trái phiếu VAMC,1.064.128,-,1.064.128,1064128.0,,1064128.0
Mua lại nợ VAMC,Mua lại nợ VAMC,Mua lại nợ VAMC,16.754,-,16.754,16754.0,,16754.0
Sử dụng dự phòng xử lý rủi ro,Sử dụng dự phòng xử lý rủi ro,Sử dụng dự phòng xử lý rủi ro,(1.127.714),-,(1.127.714),-1127714.0,,-1127714.0
Giảm dự phòng do bán nợ VAMC,Giảm dự phòng do bán nợ VAMC,Giảm dự phòng do bán nợ VAMC,(77.077),-,(77.077),-77077.0,,-77077.0
Ngày 30 tháng 11 năm 2019,Ngày 30 tháng 11 năm 2019,Ngày 30 tháng 11 năm 2019,308.691,408.246,716.937,308691.0,408246.0,716937.0
Hoàn nhập dự phòng rủi ro,Hoàn nhập dự phòng rủi ro,Hoàn nhập dự phòng rủi ro,(34.293),-,(34.293),-34293.0,,-34293.0
Tăng dự phòng do thanh lý trái phiếu VAMC,Tăng dự phòng do thanh lý trái phiếu VAMC,Tăng dự phòng do thanh lý trái phiếu VAMC,60.843,-,60.843,60843.0,,60843.0
Sử dụng dự phòng xử lý rủi ro,Sử dụng dự phòng xử lý rủi ro,Sử dụng dự phòng xử lý rủi ro,(2.921),-,(2.921),-2921.0,,-2921.0
Giảm dự phòng do bán nợ VAMC,Giảm dự phòng do bán nợ VAMC,Giảm dự phòng do bán nợ VAMC,(7.712),-,(7.712),-7712.0,,-7712.0
Ngày 31 tháng 12 năm 2019,Ngày 31 tháng 12 năm 2019,Ngày 31 tháng 12 năm 2019,324.608,408.246,732.854,324608.0,408246.0,732854.0
