row_label_raw,row_label_full,Bên liên quan,Các giao dịch,Phải thu/(phải trả),Phải thu/(phải trả)_1,numeric__Các giao dịch,numeric__Phải thu/(phải trả),numeric__Phải thu/(phải trả)_1
Bên liên quan,Bên liên quan,Bên liên quan,Các giao dịch,Số cuối nămTriệu đồng,Số đầu nămTriệu đồng,,,
Cổ đông lớn và các bên liên quan với cổ đông lớn,Cổ đông lớn và các bên liên quan với cổ đông lớn,Cổ đông lớn và các bên liên quan với cổ đông lớn,Cổ đông lớn và các bên liên quan với cổ đông lớn,Cổ đông lớn và các bên liên quan với cổ đông lớn,Cổ đông lớn và các bên liên quan với cổ đông lớn,,,
CTCP Xuất nhập khẩu Tổng hợp Hà Nội,Cổ đông lớn và các bên liên quan với cổ đông lớn > CTCP Xuất nhập khẩu Tổng hợp Hà Nội,CTCP Xuất nhập khẩu Tổng hợp Hà Nội,Tiền gửi,(269),(33.449),,-269.0,-33449.0
CTCP Xuất nhập khẩu Tổng hợp Hà Nội,Cổ đông lớn và các bên liên quan với cổ đông lớn > CTCP Xuất nhập khẩu Tổng hợp Hà Nội,CTCP Xuất nhập khẩu Tổng hợp Hà Nội,Phải thu tiền bán cổ phiếu ABS,35.855,35.855,,35855.0,35855.0
CTCP Xuất nhập khẩu Tổng hợp Hà Nội,Cổ đông lớn và các bên liên quan với cổ đông lớn > CTCP Xuất nhập khẩu Tổng hợp Hà Nội,CTCP Xuất nhập khẩu Tổng hợp Hà Nội,Lãi dự chi tiền gửi,-,(482),,,-482.0
CTCP Xuất nhập khẩu Tổng hợp Hà Nội,Cổ đông lớn và các bên liên quan với cổ đông lớn > CTCP Xuất nhập khẩu Tổng hợp Hà Nội,CTCP Xuất nhập khẩu Tổng hợp Hà Nội,Vốn góp tại Ngân hàng,(742.224),(742.224),,-742224.0,-742224.0
CTCP Xuất nhập khẩu Tổng hợp Hà Nội,Cổ đông lớn và các bên liên quan với cổ đông lớn > CTCP Xuất nhập khẩu Tổng hợp Hà Nội,CTCP Xuất nhập khẩu Tổng hợp Hà Nội,Góp vốn đầu tư,80.000,69.000,,80000.0,69000.0
CTCP Xuất nhập khẩu Tổng hợp Hà Nội,Cổ đông lớn và các bên liên quan với cổ đông lớn > CTCP Xuất nhập khẩu Tổng hợp Hà Nội,CTCP Xuất nhập khẩu Tổng hợp Hà Nội,Lãi phải thu từ góp vốn đầu tư,2.372,1.952,,2372.0,1952.0
CTCP Xuất nhập khẩu Tổng hợp Hà Nội,Cổ đông lớn và các bên liên quan với cổ đông lớn > CTCP Xuất nhập khẩu Tổng hợp Hà Nội,CTCP Xuất nhập khẩu Tổng hợp Hà Nội,Đặt cọc thuê văn phòng,21.151,3.609,,21151.0,3609.0
Malayan Banking Berhad - Maylaysia,Cổ đông lớn và các bên liên quan với cổ đông lớn > Malayan Banking Berhad - Maylaysia,Malayan Banking Berhad - Maylaysia,Tiền gửi,(4.830),(1.093),,-4830.0,-1093.0
Malayan Banking Berhad - Maylaysia,Cổ đông lớn và các bên liên quan với cổ đông lớn > Malayan Banking Berhad - Maylaysia,Malayan Banking Berhad - Maylaysia,Vốn góp tại Ngân hàng,(1.142.650),(1.142.650),,-1142650.0,-1142650.0
Malayan Banking Berhad - Maylaysia,Cổ đông lớn và các bên liên quan với cổ đông lớn > Malayan Banking Berhad - Maylaysia,Malayan Banking Berhad - Maylaysia,Gửi tiền tại Malayan Banking Berhad,2.199,2.197,,2199.0,2197.0
Công ty Tài chính Quốc tế,Cổ đông lớn và các bên liên quan với cổ đông lớn > Công ty Tài chính Quốc tế,Công ty Tài chính Quốc tế,Đi vay,(1.693.464),(2.548.150),,-1693464.0,-2548150.0
Công ty Tài chính Quốc tế,Cổ đông lớn và các bên liên quan với cổ đông lớn > Công ty Tài chính Quốc tế,Công ty Tài chính Quốc tế,Lãi dự chi tiền vay,(7.037),(16.378),,-7037.0,-16378.0
Công ty Tài chính Quốc tế,Cổ đông lớn và các bên liên quan với cổ đông lớn > Công ty Tài chính Quốc tế,Công ty Tài chính Quốc tế,Vốn góp tại Ngân hàng,(571.555),(571.555),,-571555.0,-571555.0
