row_label_raw,row_label_full,col_0,Số cuối nămTriệu đồng,Số đầu nămTriệu đồng,numeric__Số cuối nămTriệu đồng,numeric__Số đầu nămTriệu đồng
Trải phiếu Chính phủ bảo lãnh (a),Trải phiếu Chính phủ bảo lãnh (a),Trải phiếu Chính phủ bảo lãnh (a),50.000,50.000,50000.0,50000.0
Trải phiếu đặc biệt do VAMC phát hành (b),Trải phiếu đặc biệt do VAMC phát hành (b),Trải phiếu đặc biệt do VAMC phát hành (b),1.512.094,1.088.899,1512094.0,1088899.0
Trải phiếu Đồ thị Thành phố Hồ Chí Minh (c),Trải phiếu Đồ thị Thành phố Hồ Chí Minh (c),Trải phiếu Đồ thị Thành phố Hồ Chí Minh (c),23.293,23.639,23293.0,23639.0
Tin phiếu do các TCTD khác trong nướcphát hành,Tin phiếu do các TCTD khác trong nướcphát hành,Tin phiếu do các TCTD khác trong nướcphát hành,,320.000,,320000.0
Trải phiếu do các tổ chức kinh tế trong nướcphát hành (d),Trải phiếu do các tổ chức kinh tế trong nướcphát hành (d),Trải phiếu do các tổ chức kinh tế trong nướcphát hành (d),385.000,385.000,385000.0,385000.0
,,,1.970.387,1.867.538,1970387.0,1867538.0
Dự phòng rủi ro chứng khoángiữ đến ngày đáo hạn,Dự phòng rủi ro chứng khoángiữ đến ngày đáo hạn,Dự phòng rủi ro chứng khoángiữ đến ngày đáo hạn,,,,
Dự phòng chung,Dự phòng rủi ro chứng khoángiữ đến ngày đáo hạn > Dự phòng chung,Dự phòng chung,(1.763),,-1763.0,
Dự phòng trái phiếu đặc biệt VAMC,Dự phòng rủi ro chứng khoángiữ đến ngày đáo hạn > Dự phòng trái phiếu đặc biệt VAMC,Dự phòng trái phiếu đặc biệt VAMC,(278.343),(364.146),-278343.0,-364146.0
,,,(280.106),(364.146),-280106.0,-364146.0
