row_label_raw,row_label_full,col_0,Dự phòng cụ thể Triệu đồng,Dự phòng chung Triệu đồng,Tổng cộng Triệu đồng,numeric__Dự phòng cụ thể Triệu đồng,numeric__Dự phòng chung Triệu đồng,numeric__Tổng cộng Triệu đồng
Ngày 1 tháng 1 năm 2020,Ngày 1 tháng 1 năm 2020,Ngày 1 tháng 1 năm 2020,324.608,408.246,732.854,324608.0,408246.0,732854.0
Số trích lập dự phòng rủi ro,Số trích lập dự phòng rủi ro,Số trích lập dự phòng rủi ro,271.235,50.724,321.959,271235.0,50724.0,321959.0
Tăng dự phòng do thanh lý trái phiếu VAMC,Tăng dự phòng do thanh lý trái phiếu VAMC,Tăng dự phòng do thanh lý trái phiếu VAMC,341.457,-,341.457,341457.0,,341457.0
Tăng dự phòng do VAMC trả lại nợ,Tăng dự phòng do VAMC trả lại nợ,Tăng dự phòng do VAMC trả lại nợ,1.422,-,1.422,1422.0,,1422.0
Sử dụng dự phòng xử lý rủi ro,Sử dụng dự phòng xử lý rủi ro,Sử dụng dự phòng xử lý rủi ro,(567.500),-,(567.500),-567500.0,,-567500.0
Giảm dự phòng do bán nợ VAMC,Giảm dự phòng do bán nợ VAMC,Giảm dự phòng do bán nợ VAMC,(74.412),-,(74.412),-74412.0,,-74412.0
Giảm khác,Giảm khác,Giảm khác,(735),-,(735),-735.0,,-735.0
Ngày 30 tháng 11 năm 2020,Ngày 30 tháng 11 năm 2020,Ngày 30 tháng 11 năm 2020,296.075,458.970,755.045,296075.0,458970.0,755045.0
Hoàn nhập dự phòng rủi ro,Hoàn nhập dự phòng rủi ro,Hoàn nhập dự phòng rủi ro,(1.878),(758),(2.636),-1878.0,-758.0,-2636.0
Tăng dự phòng do thanh lý trái phiếu VAMC,Tăng dự phòng do thanh lý trái phiếu VAMC,Tăng dự phòng do thanh lý trái phiếu VAMC,2.075,-,2.075,2075.0,,2075.0
Sử dụng dự phòng xử lý rủi ro,Sử dụng dự phòng xử lý rủi ro,Sử dụng dự phòng xử lý rủi ro,(13.473),-,(13.473),-13473.0,,-13473.0
Giảm dự phòng do bán nợ VAMC,Giảm dự phòng do bán nợ VAMC,Giảm dự phòng do bán nợ VAMC,(35.670),-,(35.670),-35670.0,,-35670.0
Giảm khác,Giảm khác,Giảm khác,(223),-,(223),-223.0,,-223.0
Ngày 31 tháng 12 năm 2020,Ngày 31 tháng 12 năm 2020,Ngày 31 tháng 12 năm 2020,246.906,458.212,705.118,246906.0,458212.0,705118.0
