row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2020Đồng,Ngày 31 tháng 12năm 2019Đồng,numeric__Ngày 31 tháng 12năm 2020Đồng,numeric__Ngày 31 tháng 12năm 2019Đồng
USD,USD,USD,23.095,23.165,23095.0,23165.0
EUR,EUR,EUR,28.415,25.956,28415.0,25956.0
GBP,GBP,GBP,31.500,30.385,31500.0,30385.0
JPY,JPY,JPY,"223,92","212,94",223.92,212.94
AUD,AUD,AUD,17.782,16.193,17782.0,16193.0
CAD,CAD,CAD,18.047,17.754,18047.0,17754.0
NZD,NZD,NZD,16.692,15.601,16692.0,15601.0
SGD,SGD,SGD,17.469,17.183,17469.0,17183.0
CHF,CHF,CHF,26.205,23.916,26205.0,23916.0
HKD,HKD,HKD,2.980,2.975,2980.0,2975.0
