row_label_raw,row_label_full,col_0,Số cuối năm,Số cuối năm_1,Số đầu năm,Số đầu năm_1,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số đầu năm,numeric__Số đầu năm_1
,,,Triệu đồng,%,Triệu đồng,%,,,,
Cho vay các tổ chức kinh tế,Cho vay các tổ chức kinh tế,Cho vay các tổ chức kinh tế,34.070.180,"53,83",31.721.914,"55,85",34070180.0,53.83,31721914.0,55.85
Công ty cổ phần khác,Công ty cổ phần khác,Công ty cổ phần khác,17.372.132,"27,44",15.773.708,"27,78",17372132.0,27.44,15773708.0,27.78
Công ty trách nhiệm hữu hạn khác,Công ty trách nhiệm hữu hạn khác,Công ty trách nhiệm hữu hạn khác,14.194.134,"22,43",12.925.389,"22,75",14194134.0,22.43,12925389.0,22.75
Công ty nhà nước,Công ty nhà nước,Công ty nhà nước,1.930.535,"3,05",2.366.544,"4,17",1930535.0,3.05,2366544.0,4.17
Doanh nghiệp có vốn đầu tư nước ngoài,Doanh nghiệp có vốn đầu tư nước ngoài,Doanh nghiệp có vốn đầu tư nước ngoài,417.460,"0,66",409.967,"0,72",417460.0,0.66,409967.0,0.72
Doanh nghiệp tư nhân,Doanh nghiệp tư nhân,Doanh nghiệp tư nhân,93.308,"0,15",174.976,"0,31",93308.0,0.15,174976.0,0.31
Hợp tác xã và liên hiệp hợp tác xã,Hợp tác xã và liên hiệp hợp tác xã,Hợp tác xã và liên hiệp hợp tác xã,30.365,"0,05",33.549,"0,06",30365.0,0.05,33549.0,0.06
"Đơn vị hành chính sự nghiệp, Đằng, Đoàn thể và hiệp hội","Đơn vị hành chính sự nghiệp, Đằng, Đoàn thể và hiệp hội","Đơn vị hành chính sự nghiệp, Đằng, Đoàn thể và hiệp hội",17.677,"0,03",18.754,"0,03",17677.0,0.03,18754.0,0.03
Công ty hợp danh,Công ty hợp danh,Công ty hợp danh,-,-,184,"0,00",,,184.0,0.0
Khác,Khác,Khác,14.569,"0,02",18.843,"0,03",14569.0,0.02,18843.0,0.03
Cho vay cá nhân,Cho vay cá nhân,Cho vay cá nhân,29.222.971,"46,17",25.081.051,"44,15",29222971.0,46.17,25081051.0,44.15
,,,63.293.151,"100,00",56.802.965,"100,00",63293151.0,100.0,56802965.0,100.0
