row_label_raw,row_label_full,col_0,Thuyết minh,Năm 2015,Năm 2014,numeric__Thuyết minh,numeric__Năm 2015,numeric__Năm 2014
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,
Mua sắm tài sản cố định,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Mua sắm tài sản cố định,Mua sắm tài sản cố định,,(1.059.612),(1.373.237),,-1059612.0,-1373237.0
"Tiền thu từ thanh lý, nhượng bán TSCD","LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu từ thanh lý, nhượng bán TSCD","Tiền thu từ thanh lý, nhượng bán TSCD",,22.355,1.491,,22355.0,1491.0
"Tiền chi từ thanh lý, nhượng bán TSCD","LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền chi từ thanh lý, nhượng bán TSCD","Tiền chi từ thanh lý, nhượng bán TSCD",,(2.343),(3.177),,-2343.0,-3177.0
"Tiền thu đầu tư, góp vốn vào các đơn vị khác","LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu đầu tư, góp vốn vào các đơn vị khác","Tiền thu đầu tư, góp vốn vào các đơn vị khác",,286.178,303.139,,286178.0,303139.0
"Tiền chi đầu tư, góp vốn vào các đơn vị khác","LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền chi đầu tư, góp vốn vào các đơn vị khác","Tiền chi đầu tư, góp vốn vào các đơn vị khác",,(395.372),(350.000),,-395372.0,-350000.0
"Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn","LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn","Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",32,324.725,237.526,32.0,324725.0,237526.0
Lưu chuyển tiền thuần từ hoạt động đầu tư,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,,(824.069),(1.184.258),,-824069.0,-1184258.0
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNII,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNII,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNII,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNII,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNII,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNII,,,
Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNII > Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,25,127.742,-,25.0,127742.0,
"Cổ tức trả cho cổ đông, lợi nhuận đã chia","LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNII > Cổ tức trả cho cổ đông, lợi nhuận đã chia","Cổ tức trả cho cổ đông, lợi nhuận đã chia",25,(2.867.427),(2.389.521),25.0,-2867427.0,-2389521.0
Lưu chuyển tiền thuần từ hoạt động tài chính,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNII > Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,,(2.739.685),(2.389.521),,-2739685.0,-2389521.0
Lưu chuyển tiền thuần trong năm,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNII > Lưu chuyển tiền thuần trong năm,Lưu chuyển tiền thuần trong năm,,3.943.780,8.451.731,,3943780.0,8451731.0
Tiền và các khoản tương đương tiền đầu năm,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNII > Tiền và các khoản tương đương tiền đầu năm,Tiền và các khoản tương đương tiền đầu năm,,50.031.946,41.580.215,,50031946.0,41580215.0
Tiền và các khoản tương đương tiền từ việc nhận sáp nhập MHB,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNII > Tiền và các khoản tương đương tiền từ việc nhận sáp nhập MHB,Tiền và các khoản tương đương tiền từ việc nhận sáp nhập MHB,,1.473.472,-,,1473472.0,
Tiền và các khoản tương đương tiền cuối năm,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNII > Tiền và các khoản tương đương tiền cuối năm,Tiền và các khoản tương đương tiền cuối năm,35,55.449.198,50.031.946,35.0,55449198.0,50031946.0
