row_label_raw,row_label_full,Thuyết minh theo loại tiền gửi,Thuyết minh theo loại tiền gửi > 31/12/2015,Thuyết minh theo loại tiền gửi > 31/12/2014,numeric__Thuyết minh theo loại tiền gửi > 31/12/2015,numeric__Thuyết minh theo loại tiền gửi > 31/12/2014
,,,Triệu VND,Triệu VND,,
"Tiền, vàng gửi không kỳ hạn","Tiền, vàng gửi không kỳ hạn","Tiền, vàng gửi không kỳ hạn",104.353.118,78.670.153,104353118.0,78670153.0
Tiền gửi không kỳ hạn bằng VND,Tiền gửi không kỳ hạn bằng VND,Tiền gửi không kỳ hạn bằng VND,94.010.678,70.388.162,94010678.0,70388162.0
"Tiền gửi không kỳ hạn bằng vàng, ngoại tệ","Tiền gửi không kỳ hạn bằng vàng, ngoại tệ","Tiền gửi không kỳ hạn bằng vàng, ngoại tệ",10.342.440,8.281.991,10342440.0,8281991.0
"Tiền, vàng gửi có kỳ hạn","Tiền, vàng gửi có kỳ hạn","Tiền, vàng gửi có kỳ hạn",458.402.260,360.734.174,458402260.0,360734174.0
Tiền gửi có kỳ hạn bằng VND,Tiền gửi có kỳ hạn bằng VND,Tiền gửi có kỳ hạn bằng VND,423.856.887,333.511.714,423856887.0,333511714.0
Tiền gửi có kỳ hạn bằng vàng và ngoại tệ,Tiền gửi có kỳ hạn bằng vàng và ngoại tệ,Tiền gửi có kỳ hạn bằng vàng và ngoại tệ,34.545.373,27.222.460,34545373.0,27222460.0
Tiền gửi vốn chuyên dụng,Tiền gửi vốn chuyên dụng,Tiền gửi vốn chuyên dụng,3.717.822,1.831.685,3717822.0,1831685.0
Tiền gửi vốn chuyên dụng bằng VND,Tiền gửi vốn chuyên dụng bằng VND,Tiền gửi vốn chuyên dụng bằng VND,2.400.312,1.060.051,2400312.0,1060051.0
Tiền gửi vốn chuyên dụng bằng ngoại tệ,Tiền gửi vốn chuyên dụng bằng ngoại tệ,Tiền gửi vốn chuyên dụng bằng ngoại tệ,1.317.510,771.634,1317510.0,771634.0
,,,566.473.200,441.236.012,566473200.0,441236012.0
