row_label_raw,row_label_full,col_0,Kinh doanh,Giữ đến ngàyđáo hạn,Cho vay vàphải thu,Sẵn sàng đểbán,Tổng cộng giátrị ghi số,Giá trị hợp lý,numeric__Kinh doanh,numeric__Giữ đến ngàyđáo hạn,numeric__Cho vay vàphải thu,numeric__Sẵn sàng đểbán,numeric__Tổng cộng giátrị ghi số,numeric__Giá trị hợp lý
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,-,-,6.567.534,6.567.534,(*),,,,6567534.0,6567534.0,
Tiền gửi tại NHNN,Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,21.718.717,-,21.718.717,(*),,,21718717.0,,21718717.0,
Tiền gửi tại các TCTD khác và cho vay các TCTD khác,Tiền gửi tại các TCTD khác và cho vay các TCTD khác,Tiền gửi tại các TCTD khác và cho vay các TCTD khác,-,29.053.097,38.570.709,-,67.623.806,(*),,29053097.0,38570709.0,,67623806.0,
Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,7.538.902,-,-,-,7.538.902,(*),7538902.0,,,,7538902.0,
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,101.882,-,-,-,101.882,(*),101882.0,,,,101882.0,
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,-,-,589.021.899,-,589.021.899,(*),,,589021899.0,,589021899.0,
Chứng khoán sẵn sàng để bán,Chứng khoán sẵn sàng để bán,Chứng khoán sẵn sàng để bán,-,-,-,86.709.922,86.709.922,(*),,,,86709922.0,86709922.0,
Chứng khoán giữ đến ngày đáo hạn,Chứng khoán giữ đến ngày đáo hạn,Chứng khoán giữ đến ngày đáo hạn,-,34.506.110,-,-,34.506.110,(*),,34506110.0,,,34506110.0,
Góp vốn đầu tư dài hạn khác,Góp vốn đầu tư dài hạn khác,Góp vốn đầu tư dài hạn khác,-,-,-,320.390,320.390,(*),,,,320390.0,320390.0,
Tải sản tài chính khác,Tải sản tài chính khác,Tải sản tài chính khác,-,-,14.715.562,-,14.715.562,(*),,,14715562.0,,14715562.0,
,,,7.640.784,63.559.207,664.026.887,93.597.846,828.824.724,,7640784.0,63559207.0,664026887.0,93597846.0,828824724.0,
