row_label_raw,row_label_full,STT,CHỈ TIÊU,Thuyết minh,Năm 2015,Năm 2014,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Năm 2015,numeric__Năm 2014
1.,1.,1.,Thu nhập lãi và các khoản thu nhập tương tự,26,48.457.658,43.827.104,,26.0,48457658.0,43827104.0
2.,2.,2.,Chi phí lãi và các chi phí tương tự,27,(29.781.308),(27.249.679),,27.0,-29781308.0,-27249679.0
I,I,I,Thu nhập lãi thuần,,18.676.350,16.577.425,,,18676350.0,16577425.0
3.,3.,3.,Thu nhập từ hoạt động dịch vụ,,2.806.863,2.113.929,,,2806863.0,2113929.0
4.,4.,4.,Chi phí hoạt động dịch vụ,,(774.782),(586.162),,,-774782.0,-586162.0
II,II,II,Lãi thuần từ hoạt động dịch vụ,28,2.032.081,1.527.767,,28.0,2032081.0,1527767.0
III,III,III,Lãi thuần từ hoạt động kinh doanh vàng và ngoại hối,29,289.301,268.395,,29.0,289301.0,268395.0
IV,IV,IV,(Lỗ)/Lãi thuần từ mua bán chứng khoán kinh doanh,30.1,(119.020),123.698,,301.0,-119020.0,123698.0
V,V,V,Lãi thuần từ mua bán chứng khoán đầu tư,30.2,85.910,965.087,,302.0,85910.0,965087.0
,,,(Lỗ)/Lãi thuần từ mua bán chứng khoán,,(33.110),1.088.785,,,-33110.0,1088785.0
5.,5.,5.,Thu nhập từ hoạt động khác,,3.485.059,2.422.769,,,3485059.0,2422769.0
6.,6.,6.,Chi phí từ hoạt động khác,,(1.165.826),(841.996),,,-1165826.0,-841996.0
VI,VI,VI,Lãi thuần từ hoạt động khác,31,2.319.233,1.580.773,,31.0,2319233.0,1580773.0
VII,VII,VII,"Thu nhập từ góp vốn, mua cổ phần",32,324.725,237.526,,32.0,324725.0,237526.0
,,,Tổng thu nhập hoạt động,,23.608.580,21.280.671,,,23608580.0,21280671.0
7.,7.,7.,Chi phí nhân viên,,(6.074.933),(4.765.605),,,-6074933.0,-4765605.0
8.,8.,8.,Chi phí khấu hao và khấu trừ,,(604.758),(422.487),,,-604758.0,-422487.0
9.,9.,9.,Chi phí hoạt động khác,,(3.763.389),(3.067.658),,,-3763389.0,-3067658.0
VIII,VIII,VIII,Tổng chi phí hoạt động,33,(10.443.080),(8.255.750),,33.0,-10443080.0,-8255750.0
IX,IX,IX,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,,13.165.500,13.024.921,,,13165500.0,13024921.0
X,X,X,Chi phí dự phòng rủi ro tín dụng,,(5.522.418),(6.968.923),,,-5522418.0,-6968923.0
XI,XI,XI,Tổng lợi nhuận trước thuế,,7.643.082,6.055.998,,,7643082.0,6055998.0
10.,10.,10.,Chi phí thuế TNDN hiện hành,34,(1.537.403),(1.280.194),,34.0,-1537403.0,-1280194.0
XII,XII,XII,Chi phí thuế TNDN,,(1.537.403),(1.280.194),,,-1537403.0,-1280194.0
XIII,XIII,XIII,Lợi nhuận sau thuế,,6.105.679,4.775.804,,,6105679.0,4775804.0
XIV,XIV,XIV,Lỗ lũy kế do MHB chuyển giao khi sáp nhập,,(642.686),-,,,-642686.0,
XV,XV,XV,Lợi nhuận còn lại của Ngân hàng,,5.462.993,4.775.804,,,5462993.0,4775804.0
