row_label_raw,row_label_full,col_0,Nguyên giá/Giá hợp lý khi ghi nhận ban đầu,Giá trị khấu hao lũy kế,Giá trị còn lại,numeric__Nguyên giá/Giá hợp lý khi ghi nhận ban đầu,numeric__Giá trị khấu hao lũy kế,numeric__Giá trị còn lại
,,,Triệu VND,Triệu VND,Triệu VND,,,
"TSCĐ vô hình, chiểm tỷ trọng lớn trong tổng tài sản","TSCĐ vô hình, chiểm tỷ trọng lớn trong tổng tài sản","TSCĐ vô hình, chiểm tỷ trọng lớn trong tổng tài sản",4.182.769,535.606,3.647.163,4182769.0,535606.0,3647163.0
Nguyên giá của TSCĐ vô hình khấu hao hết nhưng vẫn còn sử dụng,Nguyên giá của TSCĐ vô hình khấu hao hết nhưng vẫn còn sử dụng,Nguyên giá của TSCĐ vô hình khấu hao hết nhưng vẫn còn sử dụng,294.380,294.380,-,294380.0,294380.0,
Giá trị còn lại của TSCĐ vô hình đang thanh lý,Giá trị còn lại của TSCĐ vô hình đang thanh lý,Giá trị còn lại của TSCĐ vô hình đang thanh lý,143,143,-,143.0,143.0,
