row_label_raw,row_label_full,STT,Tên công ty,Quyết định thành lập/Giấy phép hoạt động,Lĩnh vực hoạt động,Tỷ lệ % sở hữu của Ngân hàng,numeric__Tên công ty,numeric__Quyết định thành lập/Giấy phép hoạt động,numeric__Lĩnh vực hoạt động,numeric__Tỷ lệ % sở hữu của Ngân hàng
1,1,1,Ngân hàng Liên doanh VID Public (“VID Public”) (*),0100112733 ngày 07 tháng 3 năm 2013 của Sở Kế hoạch và Đầu tư thành phố Hà Nội,Tải chính/ Ngân hàng,"50,00%",,,,0.5
2,2,2,Ngân hàng Liên doanh Lào Việt (“LVB”),Giấy phép đầu tư nước ngoài số 985-326 ngày 10 tháng 6 năm 1999 và bản sửa đổi gần nhất số 004-15/KH/ĐT4 ngày 24 tháng 8 năm 2015 do Bộ kế hoạch Đầu tư của CHDCND Lào cấp.,Tải chính/ Ngân hàng,"65,00%",,,,0.65
3,3,3,Ngân hàng Liên doanh Việt Nga (“VRB”),0102100878 ngày 05 tháng 8 năm 2013 của Sở Kế hoạch và Đầu tư thành phố Hà Nội,Tải chính/ Ngân hàng,"50,00%",,,,0.5
4,4,4,Công ty Liên doanh Tháp BIDV (“BIDV Tower”),2523/GP ngày 02 tháng 11 năm 2005 của Bộ Kế hoạch Đầu tư,"Xây dựng, vận hành và quản lý khối văn phòng làm việc","55,00%",,,,0.55
5,5,5,Công ty Liên doanh Quản lý Đầu tư BIDV - Việt Nam Partners (“BVIM”),- 74/UBCK - GP ngày 09 tháng 8 năm 2010 của Ủy ban Chứng Khoán Nhà nước - 01/GP-QLĐT ngày 06 tháng 01 năm 2006 của Bộ Tài chính,Quản lý quỹ,"50,00%",,,,0.5
6,6,6,Công ty TNHH Bảo hiểm Nhân thọ BIDV Metlife,72/GP-KDBH ngày 21 tháng 7 năm 2014 của Bộ Tài chính,Bảo hiểm,"35,00%",,,,0.35
