row_label_raw,row_label_full,col_0,Vốn điều lệ,Thặng dư vốn cổ phần,Quỹ dự phòng tài chính,Quỹ dự trữ bổ sung vốn điều lệ,Lợi nhuận chưa phân phối,Tổng cộng,numeric__Vốn điều lệ,numeric__Thặng dư vốn cổ phần,numeric__Quỹ dự phòng tài chính,numeric__Quỹ dự trữ bổ sung vốn điều lệ,numeric__Lợi nhuận chưa phân phối,numeric__Tổng cộng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,28.112.026,30.306,1.097.620,549.417,3.097.500,32.886.869,28112026.0,30306.0,1097620.0,549417.0,3097500.0,32886869.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,6.075.127,-,543.934,271.967,6.119.297,13.010.325,6075127.0,,543934.0,271967.0,6119297.0,13010325.0
Sáp nhập MHB,Sáp nhập MHB,Sáp nhập MHB,3.369.211,-,23.934,11.967,-,3.405.112,3369211.0,,23934.0,11967.0,,3405112.0
Tạm trích các quỹ năm 2015,Tạm trích các quỹ năm 2015,Tạm trích các quỹ năm 2015,-,-,520.000,260.000,-,780.000,,,520000.0,260000.0,,780000.0
Lợi nhuận sau thuế trong năm,Lợi nhuận sau thuế trong năm,Lợi nhuận sau thuế trong năm,-,-,-,-,6.105.679,6.105.679,,,,,6105679.0,6105679.0
Tăng vốn từ phát hành cổ phiếu cho cổ đông khác,Tăng vốn từ phát hành cổ phiếu cho cổ đông khác,Tăng vốn từ phát hành cổ phiếu cho cổ đông khác,127.742,-,-,-,-,127.742,127742.0,,,,,127742.0
Tăng vốn từ phát hành cổ phiếu cho cổ đông Nhà nước,Tăng vốn từ phát hành cổ phiếu cho cổ đông Nhà nước,Tăng vốn từ phát hành cổ phiếu cho cổ đông Nhà nước,2.578.174,-,-,-,-,2.578.174,2578174.0,,,,,2578174.0
Điều chỉnh theo kết quả Kiểm toán Nhà nước,Điều chỉnh theo kết quả Kiểm toán Nhà nước,Điều chỉnh theo kết quả Kiểm toán Nhà nước,-,-,-,-,12.817,12.817,,,,,12817.0,12817.0
Các khoản tăng khác,Các khoản tăng khác,Các khoản tăng khác,-,-,-,-,801,801,,,,,801.0,801.0
Giảm trong năm,Giảm trong năm,Giảm trong năm,-,-,(4.719),(2.103),(5.673.051),(5.679.873),,,-4719.0,-2103.0,-5673051.0,-5679873.0
Xử lý tổn thất liên quan đến hoạt động thể,Xử lý tổn thất liên quan đến hoạt động thể,Xử lý tổn thất liên quan đến hoạt động thể,-,-,(514),-,-,(514),,,-514.0,,,-514.0
Điều chỉnh theo kết quả Quyết toán tài chính năm 2014,Điều chỉnh theo kết quả Quyết toán tài chính năm 2014,Điều chỉnh theo kết quả Quyết toán tài chính năm 2014,-,-,(4.205),(2.103),(20.192),(26.500),,,-4205.0,-2103.0,-20192.0,-26500.0
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,(1.340.000),(1.340.000),,,,,-1340000.0,-1340000.0
"Trích quỹ dự phòng tài chính, bổ sung vốn điều lệ","Trích quỹ dự phòng tài chính, bổ sung vốn điều lệ","Trích quỹ dự phòng tài chính, bổ sung vốn điều lệ",-,-,-,-,(780.000),(780.000),,,,,-780000.0,-780000.0
Giảm do nhận phần lỗ lũy kế của MHB khi sáp nhập vào BIDV,Giảm do nhận phần lỗ lũy kế của MHB khi sáp nhập vào BIDV,Giảm do nhận phần lỗ lũy kế của MHB khi sáp nhập vào BIDV,-,-,-,-,(642.686),(642.686),,,,,-642686.0,-642686.0
Trả cổ tức cho cổ đông,Trả cổ tức cho cổ đông,Trả cổ tức cho cổ đông,-,-,-,-,(2.867.427),(2.867.427),,,,,-2867427.0,-2867427.0
Các khoản giảm khác trong năm,Các khoản giảm khác trong năm,Các khoản giảm khác trong năm,-,-,-,-,(22.746),(22.746),,,,,-22746.0,-22746.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,34.187.153,30.306,1.636.835,819.281,3.543.746,40.217.321,34187153.0,30306.0,1636835.0,819281.0,3543746.0,40217321.0
