row_label_raw,row_label_full,"I. Tổng số cán bộ, công nhân viên bình quân trong năm",Năm 2015 > 22.322,Năm 2014 > 17.856,numeric__Năm 2015 > 22.322,numeric__Năm 2014 > 17.856
"II. Thu nhập của cán bộ, công nhân viên (triệu đồng)","II. Thu nhập của cán bộ, công nhân viên (triệu đồng)","II. Thu nhập của cán bộ, công nhân viên (triệu đồng)",,,,
1. Tổng thu nhập,"II. Thu nhập của cán bộ, công nhân viên (triệu đồng) > 1. Tổng thu nhập",1. Tổng thu nhập,5.435.886,3.893.336,5435886.0,3893336.0
2. Thu nhập bình quân tháng,"II. Thu nhập của cán bộ, công nhân viên (triệu đồng) > 2. Thu nhập bình quân tháng",2. Thu nhập bình quân tháng,"20,29","18,17",20.29,18.17
