row_label_raw,row_label_full,col_0,Quá hạn,Không chịu rủi ro lãi suất do định giả lại,Kỳ thay đổi lãi suất,Kỳ thay đổi lãi suất_1,Kỳ thay đổi lãi suất_2,Kỳ thay đổi lãi suất_3,Kỳ thay đổi lãi suất_4,Kỳ thay đổi lãi suất_5,Tổng,numeric__Quá hạn,numeric__Không chịu rủi ro lãi suất do định giả lại,numeric__Kỳ thay đổi lãi suất,numeric__Kỳ thay đổi lãi suất_1,numeric__Kỳ thay đổi lãi suất_2,numeric__Kỳ thay đổi lãi suất_3,numeric__Kỳ thay đổi lãi suất_4,numeric__Kỳ thay đổi lãi suất_5,numeric__Tổng
,,,Quá hạn,Không chịu rủi ro lãi suất do định giả lại,Đến 1 tháng,Từ 1-3 tháng,Từ 3-6 tháng,Từ 6-12 tháng,Từ 1-5 năm,Trên 5 năm,Tổng,,,,,,,,,
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,,
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,,
"Tiền mặt, vàng bạc, đã quỹ","Tài sản > Tiền mặt, vàng bạc, đã quỹ","Tiền mặt, vàng bạc, đã quỹ",-,6.567.534,-,-,-,-,-,-,6.567.534,,6567534.0,,,,,,,6567534.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,21.718.717,-,-,-,-,-,21.718.717,,,21718717.0,,,,,,21718717.0
Tiền gửi tại các TCTD khác và cho vay các TCTD khác (*),Tài sản > Tiền gửi tại các TCTD khác và cho vay các TCTD khác (*),Tiền gửi tại các TCTD khác và cho vay các TCTD khác (*),-,7.552.371,32.694.496,9.391.352,16.409.443,120.000,1.530.110,-,67.697.772,,7552371.0,32694496.0,9391352.0,16409443.0,120000.0,1530110.0,,67697772.0
Chứng khoán kinh doanh,Tài sản > Chứng khoán kinh doanh,Chứng khoán kinh doanh,-,-,-,-,-,7.538.902,-,-,7.538.902,,,,,,7538902.0,,,7538902.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,101.882,-,-,-,-,-,-,101.882,,101882.0,,,,,,,101882.0
Cho vay khách hàng (*),Tài sản > Cho vay khách hàng (*),Cho vay khách hàng (*),15.904.582,55,192.385.542,172.818.062,122.847.494,59.458.204,25.555.261,7.174.483,596.143.683,15904582.0,55.0,192385542.0,172818062.0,122847494.0,59458204.0,25555261.0,7174483.0,596143683.0
Chứng khoán đầu tư (*),Tài sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),130.000,5.160.702,5.550.000,8.226.667,8.238.575,8.131.680,56.552.970,31.636.768,123.627.362,130000.0,5160702.0,5550000.0,8226667.0,8238575.0,8131680.0,56552970.0,31636768.0,123627362.0
