row_label_raw,row_label_full,Loại tài sản,Thời gian hữu dụng ước tính(số năm),numeric__Thời gian hữu dụng ước tính(số năm)
"Nhà cửa, vật kiến trúc","Nhà cửa, vật kiến trúc","Nhà cửa, vật kiến trúc",7 - 50,
"Máy móc, thiết bị","Máy móc, thiết bị","Máy móc, thiết bị",5 - 12,
Phương tiện vận tải,Phương tiện vận tải,Phương tiện vận tải,6 - 15,
Tài sản cố định khác,Phương tiện vận tải > Tài sản cố định khác,Tài sản cố định khác,4,4.0
"Thiết bị, dụng cụ quản lý","Phương tiện vận tải > Thiết bị, dụng cụ quản lý","Thiết bị, dụng cụ quản lý",5,5.0
Phần mềm máy tính,Phần mềm máy tính,Phần mềm máy tính,3 - 8,
