row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phương tiệnvận tải,Thiết bị dụng cụquản lý,TSCĐ khác,Tổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Phương tiệnvận tải,numeric__Thiết bị dụng cụquản lý,numeric__TSCĐ khác,numeric__Tổng cộng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,
Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,,,,,,
Số dư tại ngày 01 tháng 01 năm 2014,Nguyên giá TSCĐ hữu hình > Số dư tại ngày 01 tháng 01 năm 2014,Số dư tại ngày 01 tháng 01 năm 2014,2.578.181,1.694.972,415.192,26.152,44.999,4.759.496,2578181.0,1694972.0,415192.0,26152.0,44999.0,4759496.0
Mua trong năm,Nguyên giá TSCĐ hữu hình > Mua trong năm,Mua trong năm,72.900,81.899,45.056,7.355,44.110,251.320,72900.0,81899.0,45056.0,7355.0,44110.0,251320.0
Đầu tư XDCB hoàn thành,Nguyên giá TSCĐ hữu hình > Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,264.440,-,-,-,-,264.440,264440.0,,,,,264440.0
Mua lại TSCĐ thuê tài chính,Nguyên giá TSCĐ hữu hình > Mua lại TSCĐ thuê tài chính,Mua lại TSCĐ thuê tài chính,-,32.111,20.967,-,-,53.078,,32111.0,20967.0,,,53078.0
Tăng khác,Nguyên giá TSCĐ hữu hình > Tăng khác,Tăng khác,49.683,1.567,2.282,559,(2),54.089,49683.0,1567.0,2282.0,559.0,-2.0,54089.0
"Thanh lý, nhượng bán","Nguyên giá TSCĐ hữu hình > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(7.730),(18.810),(8.833),(531),(1.421),(37.325),-7730.0,-18810.0,-8833.0,-531.0,-1421.0,-37325.0
Giảm khác,Nguyên giá TSCĐ hữu hình > Giảm khác,Giảm khác,(651),(1.828),(1.278),-,-,(3.757),-651.0,-1828.0,-1278.0,,,-3757.0
Số dư tại ngày 31 tháng 12 năm 2014,Nguyên giá TSCĐ hữu hình > Số dư tại ngày 31 tháng 12 năm 2014,Số dư tại ngày 31 tháng 12 năm 2014,2.956.823,1.789.911,473.386,33.535,87.686,5.341.341,2956823.0,1789911.0,473386.0,33535.0,87686.0,5341341.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư tại ngày 01 tháng 01 năm 2014,Giá trị hao mòn lũy kế > Số dư tại ngày 01 tháng 01 năm 2014,Số dư tại ngày 01 tháng 01 năm 2014,557.076,1.214.084,290.397,8.836,21.468,2.091.861,557076.0,1214084.0,290397.0,8836.0,21468.0,2091861.0
Khẩu hao trong năm,Giá trị hao mòn lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,106.930,117.263,32.057,6.232,14.857,277.339,106930.0,117263.0,32057.0,6232.0,14857.0,277339.0
Mua lại TSCĐ thuê tài chính,Giá trị hao mòn lũy kế > Mua lại TSCĐ thuê tài chính,Mua lại TSCĐ thuê tài chính,-,25.895,16.540,-,-,42.435,,25895.0,16540.0,,,42435.0
Tăng khác,Giá trị hao mòn lũy kế > Tăng khác,Tăng khác,844,2.866,1.310,-,1.626,6.646,844.0,2866.0,1310.0,,1626.0,6646.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(6.005),(18.775),(8.020),(381),(1.417),(34.598),-6005.0,-18775.0,-8020.0,-381.0,-1417.0,-34598.0
Giảm khác,Giá trị hao mòn lũy kế > Giảm khác,Giảm khác,(143),(450),(375),-,-,(968),-143.0,-450.0,-375.0,,,-968.0
Số dư tại ngày 31 tháng 12 năm 2014,Giá trị hao mòn lũy kế > Số dư tại ngày 31 tháng 12 năm 2014,Số dư tại ngày 31 tháng 12 năm 2014,658.702,1.340.883,331.909,14.687,36.534,2.382.715,658702.0,1340883.0,331909.0,14687.0,36534.0,2382715.0
Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,,,,,,
Tại ngày 01 tháng 01 năm 2014,Giá trị còn lại của TSCĐ hữu hình > Tại ngày 01 tháng 01 năm 2014,Tại ngày 01 tháng 01 năm 2014,2.021.105,480.888,124.795,17.316,23.531,2.667.635,2021105.0,480888.0,124795.0,17316.0,23531.0,2667635.0
Tại ngày 31 tháng 12 năm 2014,Giá trị còn lại của TSCĐ hữu hình > Tại ngày 31 tháng 12 năm 2014,Tại ngày 31 tháng 12 năm 2014,2.298.121,449.028,141.477,18.848,51.152,2.958.626,2298121.0,449028.0,141477.0,18848.0,51152.0,2958626.0
