row_label_raw,row_label_full,Họ tên,Chức danh,Ngày bổ nhiệm/miền nhiệm,Năm nay > Triệu VND,Năm trước > Triệu VND,numeric__Chức danh,numeric__Ngày bổ nhiệm/miền nhiệm,numeric__Năm nay > Triệu VND,numeric__Năm trước > Triệu VND
HỘI ĐỒNG QUẢN TRỊ,HỘI ĐỒNG QUẢN TRỊ,HỘI ĐỒNG QUẢN TRỊ,HỘI ĐỒNG QUẢN TRỊ,HỘI ĐỒNG QUẢN TRỊ,HỘI ĐỒNG QUẢN TRỊ,HỘI ĐỒNG QUẢN TRỊ,,,,
Ông Trần Minh Bình,HỘI ĐỒNG QUẢN TRỊ > Ông Trần Minh Bình,Ông Trần Minh Bình,Chủ tịch,,2.583,2.485,,,2583.0,2485.0
Ông Cát Quang Dương,HỘI ĐỒNG QUẢN TRỊ > Ông Cát Quang Dương,Ông Cát Quang Dương,Thành viên độc lập,Bố nhiệm ngày 27 tháng 4 năm 2024,1.200,-,,,1200.0,
Ông Nguyễn Đức Thành,HỘI ĐỒNG QUẢN TRỊ > Ông Nguyễn Đức Thành,Ông Nguyễn Đức Thành,Thành viên,,2.140,2.064,,,2140.0,2064.0
Ông Nguyễn Thế Huân,HỘI ĐỒNG QUẢN TRỊ > Ông Nguyễn Thế Huân,Ông Nguyễn Thế Huân,Thành viên,,1.938,1.869,,,1938.0,1869.0
Bà Phạm Thị Thanh Hoài,HỘI ĐỒNG QUẢN TRỊ > Bà Phạm Thị Thanh Hoài,Bà Phạm Thị Thanh Hoài,Thành viên,,1.694,1.631,,,1694.0,1631.0
Ông Trần Văn Tần,HỘI ĐỒNG QUẢN TRỊ > Ông Trần Văn Tần,Ông Trần Văn Tần,Thành viên,,1.712,1.650,,,1712.0,1650.0
Ông Lê Thanh Tùng,HỘI ĐỒNG QUẢN TRỊ > Ông Lê Thanh Tùng,Ông Lê Thanh Tùng,Thành viên,,1.694,1.631,,,1694.0,1631.0
Ông Nguyễn Việt Dũng,HỘI ĐỒNG QUẢN TRỊ > Ông Nguyễn Việt Dũng,Ông Nguyễn Việt Dũng,Thành viên,Bố nhiệm ngày 17 tháng 10 năm 2024,340,-,,,340.0,
Bà Nguyễn Thị Bắc,HỘI ĐỒNG QUẢN TRỊ > Bà Nguyễn Thị Bắc,Bà Nguyễn Thị Bắc,Thành viên độc lập,Miễn nhiệm từ ngày 27 tháng 4 năm 2024,600,1.800,,,600.0,1800.0
Bà Trần Thu Huyền,HỘI ĐỒNG QUẢN TRỊ > Bà Trần Thu Huyền,Bà Trần Thu Huyền,Thành viên,Miễn nhiệm từ ngày 23 tháng 4 năm 2024,791,2.175,,,791.0,2175.0
Thành viên do đối tác MUFJ đề cử (*),HỘI ĐỒNG QUẢN TRỊ > Thành viên do đối tác MUFJ đề cử (*),Thành viên do đối tác MUFJ đề cử (*),Thành viên,,452,441,,,452.0,441.0
BAN KIỂM SOÁT,BAN KIỂM SOÁT,BAN KIỂM SOÁT,BAN KIỂM SOÁT,BAN KIỂM SOÁT,BAN KIỂM SOÁT,BAN KIỂM SOÁT,,,,
Bà Lê Anh Hà,BAN KIỂM SOÁT > Bà Lê Anh Hà,Bà Lê Anh Hà,Trường ban Kiểm soát,,1.684,1.626,,,1684.0,1626.0
Bà Nguyễn Thị Anh Thư,BAN KIỂM SOÁT > Bà Nguyễn Thị Anh Thư,Bà Nguyễn Thị Anh Thư,Thành viên,,1.270,1.264,,,1270.0,1264.0
Bà Phạm Thị Thơm,BAN KIỂM SOÁT > Bà Phạm Thị Thơm,Bà Phạm Thị Thơm,Thành viên,,985,965,,,985.0,965.0
BAN ĐIỀU HÀNH VÀ KẾ TOÁN TRƯỜNG,BAN ĐIỀU HÀNH VÀ KẾ TOÁN TRƯỜNG,BAN ĐIỀU HÀNH VÀ KẾ TOÁN TRƯỜNG,BAN ĐIỀU HÀNH VÀ KẾ TOÁN TRƯỜNG,BAN ĐIỀU HÀNH VÀ KẾ TOÁN TRƯỜNG,BAN ĐIỀU HÀNH VÀ KẾ TOÁN TRƯỜNG,BAN ĐIỀU HÀNH VÀ KẾ TOÁN TRƯỜNG,,,,
Ông Nguyễn Trần Mạnh Trung,BAN ĐIỀU HÀNH VÀ KẾ TOÁN TRƯỜNG > Ông Nguyễn Trần Mạnh Trung,Ông Nguyễn Trần Mạnh Trung,Tổng Giám đốc,Bố nhiệm ngày 17 tháng 10 năm 2024(Phó Tổng Giám đốc đến ngày 16 tháng 10 năm 2024),1.910,1.789,,,1910.0,1789.0
Ông Đỗ Thanh Sơn,BAN ĐIỀU HÀNH VÀ KẾ TOÁN TRƯỜNG > Ông Đỗ Thanh Sơn,Ông Đỗ Thanh Sơn,Phó Tổng Giám đốc,Thời phụ trách Ban Điều hành từ ngày 17 tháng 10 năm 2024,2.303,2.033,,,2303.0,2033.0
Bà Lê Như Hoa,BAN ĐIỀU HÀNH VÀ KẾ TOÁN TRƯỜNG > Bà Lê Như Hoa,Bà Lê Như Hoa,Phó Tổng Giám đốc,,1.901,1.832,,,1901.0,1832.0
Ông Lê Duy Hải,BAN ĐIỀU HÀNH VÀ KẾ TOÁN TRƯỜNG > Ông Lê Duy Hải,Ông Lê Duy Hải,Phó Tổng Giám đốc,,1.777,1.654,,,1777.0,1654.0
Ông Trần Công Quỳnh Lân,BAN ĐIỀU HÀNH VÀ KẾ TOÁN TRƯỜNG > Ông Trần Công Quỳnh Lân,Ông Trần Công Quỳnh Lân,Phó Tổng Giám đốc,,2.379,2.236,,,2379.0,2236.0
Ông Hoàng Ngọc Phương,BAN ĐIỀU HÀNH VÀ KẾ TOÁN TRƯỜNG > Ông Hoàng Ngọc Phương,Ông Hoàng Ngọc Phương,Phó Tổng Giám đốc,Miễn nhiệm từ ngày 28 tháng 3 năm 2024,466,1.678,,,466.0,1678.0
Ông Nguyễn Đình Vinh,BAN ĐIỀU HÀNH VÀ KẾ TOÁN TRƯỜNG > Ông Nguyễn Đình Vinh,Ông Nguyễn Đình Vinh,Phó Tổng Giám đốc,Miễn nhiệm ngày 18 tháng 12 năm 2024,2.176,1.977,,,2176.0,1977.0
Ông Nguyễn Hoàng Dũng,BAN ĐIỀU HÀNH VÀ KẾ TOÁN TRƯỜNG > Ông Nguyễn Hoàng Dũng,Ông Nguyễn Hoàng Dũng,Phó Tổng Giám đốc phụ trách Ban Điều hành,Nghì chế độ từ ngày 01 tháng 9 năm 2023,-,1.645,,,,1645.0
Ông Nguyễn Hải Hưng,BAN ĐIỀU HÀNH VÀ KẾ TOÁN TRƯỜNG > Ông Nguyễn Hải Hưng,Ông Nguyễn Hải Hưng,Kế toán trưởng,,1.991,1.927,,,1991.0,1927.0
