row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phương tiệnvận tải và thiết bị truyền dẫn,Thiết bị dụng cụquản lý và TSCĐhửu hình khác,Tổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Phương tiệnvận tải và thiết bị truyền dẫn,numeric__Thiết bị dụng cụquản lý và TSCĐhửu hình khác,numeric__Tổng cộng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,8.308.978,5.705.307,1.852.100,439.083,16.305.468,8308978.0,5705307.0,1852100.0,439083.0,16305468.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,5.081,436.181,115.185,30.284,586.731,5081.0,436181.0,115185.0,30284.0,586731.0
Đầu tư XDCB hoàn thành,Nguyên giá > Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,132.245,30.800,11.773,8.920,183.738,132245.0,30800.0,11773.0,8920.0,183738.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,(575),(24.109),24.374,310,-,-575.0,-24109.0,24374.0,310.0,
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(5.326),(110.823),(54.794),(3.491),(174.434),-5326.0,-110823.0,-54794.0,-3491.0,-174434.0
Điều chỉnh khác,Nguyên giá > Điều chỉnh khác,Điều chỉnh khác,(330),(1.081),-,(102),(1.513),-330.0,-1081.0,,-102.0,-1513.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,8.440.073,6.036.275,1.948.638,475.004,16.899.990,8440073.0,6036275.0,1948638.0,475004.0,16899990.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,3.383.888,5.173.456,1.406.000,365.486,10.328.830,3383888.0,5173456.0,1406000.0,365486.0,10328830.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,300.790,254.163,142.580,30.747,728.280,300790.0,254163.0,142580.0,30747.0,728280.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,(81),(23.213),23.478,(184),-,-81.0,-23213.0,23478.0,-184.0,
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(5.326),(108.043),(53.578),(3.452),(170.399),-5326.0,-108043.0,-53578.0,-3452.0,-170399.0
Điều chỉnh khác,Giá trị hao mòn lũy kế > Điều chỉnh khác,Điều chỉnh khác,7.092,4.708,3.297,3.724,18.821,7092.0,4708.0,3297.0,3724.0,18821.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,3.686.363,5.301.071,1.521.777,396.321,10.905.532,3686363.0,5301071.0,1521777.0,396321.0,10905532.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,4.925.090,531.851,446.100,73.597,5.976.638,4925090.0,531851.0,446100.0,73597.0,5976638.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,4.753.710,735.204,426.861,78.683,5.994.458,4753710.0,735204.0,426861.0,78683.0,5994458.0
