row_label_raw,row_label_full,col_0,Tổngdur nợ cho vay,Tổng tiền gửi,Các cam kếttín dụng,Công cụ tài chính phải sinh(Chênh lệchdur nợ - dư có),Kinh doanh và đầu tư chứng khoán(Chênh lệchdur nợ - dư có),numeric__Tổngdur nợ cho vay,numeric__Tổng tiền gửi,numeric__Các cam kếttín dụng,numeric__Công cụ tài chính phải sinh(Chênh lệchdur nợ - dư có),numeric__Kinh doanh và đầu tư chứng khoán(Chênh lệchdur nợ - dư có)
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,
Trong nước,Trong nước,Trong nước,1.708.418.568,1.999.968.006,189.951.212,(398.121),211.317.063,1708418568.0,1999968006.0,189951212.0,-398121.0,211317063.0
Nước ngoài,Nước ngoài,Nước ngoài,3.901.670,843.488,239.764,-,-,3901670.0,843488.0,239764.0,,
,,,1.712.320.238,2.000.811.494,190.190.976,(398.121),211.317.063,1712320238.0,2000811494.0,190190976.0,-398121.0,211317063.0
