row_label_raw,row_label_full,STT,CHỈ TIÊU,Thuyết minh,Số cuối năm,Số đầu năm,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
B.,B.,B.,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,,,
I.,B. > I.,I.,Các khoản nợ Chính phủ và NHNN,17,154.284.104,21.814.105,,17.0,154284104.0,21814105.0
1.,B. > 1.,1.,"Tiền gửi và vay Chính phủ, NHNN",,154.284.104,21.814.105,,,154284104.0,21814105.0
II.,B. > II.,II.,Tiền gửi và vay các TCTD khác,18,267.439.256,295.337.817,,18.0,267439256.0,295337817.0
1.,B. > 1.,1.,Tiền gửi của các TCTD khác,18.1,252.619.168,258.392.237,,181.0,252619168.0,258392237.0
2.,B. > 2.,2.,Vay các TCTD khác,18.2,14.820.088,36.945.580,,182.0,14820088.0,36945580.0
III.,B. > III.,III.,Tiền gửi của khách hàng,19,1.603.421.091,1.409.417.688,,19.0,1603421091.0,1409417688.0
IV.,B. > IV.,IV.,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,9,398.121,552.633,,9.0,398121.0,552633.0
V.,B. > V.,V.,"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",20,2.079.503,2.163.999,,20.0,2079503.0,2163999.0
VI.,B. > VI.,VI.,Phát hành giấy tờ có giá,21,151.853.590,115.375.727,,21.0,151853590.0,115375727.0
VII.,B. > VII.,VII.,Các khoản nợ khác,,37.946.821,44.843.702,,,37946821.0,44843702.0
1.,B. > 1.,1.,"Các khoản lãi, phí phải trả",,20.964.130,27.958.258,,,20964130.0,27958258.0
2.,B. > 2.,2.,Các khoản phải trả và công nợ khác,22,16.982.691,16.885.444,,22.0,16982691.0,16885444.0
TỔNG NỘ PHẢI TRẢ,B. > TỔNG NỘ PHẢI TRẢ,TỔNG NỘ PHẢI TRẢ,TỔNG NỘ PHẢI TRẢ,,2.217.422.486,1.889.505.671,,,2217422486.0,1889505671.0
VIII.,B. > VIII.,VIII.,Vốn và các quỹ,24,143.143.787,121.751.831,,24.0,143143787.0,121751831.0
1.,B. > 1.,1.,Vốn của TCTD,,62.669.744,62.669.744,,,62669744.0,62669744.0
a.,B. > a.,a.,Vốn điều lệ,,53.699.917,53.699.917,,,53699917.0,53699917.0
b.,B. > b.,b.,Thặng dư vốn cổ phần,,8.969.827,8.969.827,,,8969827.0,8969827.0
2.,B. > 2.,2.,Quỹ của TCTD,,24.831.290,18.618.137,,,24831290.0,18618137.0
3.,B. > 3.,3.,Lợi nhuận sau thuế chưa phân phối,,55.642.753,40.463.950,,,55642753.0,40463950.0
TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,B. > TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,2.360.566.273,2.011.257.502,,,2360566273.0,2011257502.0
