row_label_raw,row_label_full,STT,CHỈ TIÊU,Thuyết minh,Năm nay,Năm trước,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước
1.,1.,1.,Thu nhập lãi và các khoản thu nhập tương tự,25,122.648.218,130.963.092,,25.0,122648218.0,130963092.0
2.,2.,2.,Chi phí lãi và các chi phí tương tự,26,(61.546.264),(79.194.658),,26.0,-61546264.0,-79194658.0
I.,I.,I.,Thu nhập lãi thuần,,61.101.954,51.768.434,,,61101954.0,51768434.0
3.,3.,3.,Thu nhập từ hoạt động dịch vụ,,8.799.803,9.506.879,,,8799803.0,9506879.0
4.,4.,4.,Chi phí hoạt động dịch vụ,,(3.757.078),(3.598.992),,,-3757078.0,-3598992.0
II.,II.,II.,Lãi thuần từ hoạt động dịch vụ,27,5.042.725,5.907.887,,27.0,5042725.0,5907887.0
III.,III.,III.,Lãi thuần từ hoạt động kinh doanh ngoại hồi,28,4.106.205,4.262.766,,28.0,4106205.0,4262766.0
IV.,IV.,IV.,Lãi/(Lỗ) thuần từ mua bán chứng khoán kinh doanh,29.1,3.080,(4.460),,291.0,3080.0,-4460.0
V.,V.,V.,(Lỗ) thuần từ mua bán chứng khoán đầu tư,29.2,(287.676),(18.962),,292.0,-287676.0,-18962.0
5.,5.,5.,Thu nhập từ hoạt động khác,,10.569.077,7.000.462,,,10569077.0,7000462.0
6.,6.,6.,Chi phí hoạt động khác,,(2.141.843),(1.168.796),,,-2141843.0,-1168796.0
VI.,VI.,VI.,Lãi thuần từ hoạt động khác,30,8.427.234,5.831.666,,30.0,8427234.0,5831666.0
VII.,VII.,VII.,"Thu nhập từ góp vốn, mua cổ phần",31,71.871,627.606,,31.0,71871.0,627606.0
VIII.,VIII.,VIII.,Chi phí hoạt động,32,(20.854.118),(19.188.990),,32.0,-20854118.0,-19188990.0
IX.,IX.,IX.,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,,57.611.275,49.185.947,,,57611275.0,49185947.0
X.,X.,X.,Chi phí dự phòng rủi ro tín dụng,,(27.250.448),(24.991.748),,,-27250448.0,-24991748.0
XI.,XI.,XI.,Tổng lợi nhuận trước thuế,,30.360.827,24.194.199,,,30360827.0,24194199.0
7.,7.,7.,Chi phí thuế TNDN hiện hành,33,(6.101.799),(4.737.411),,33.0,-6101799.0,-4737411.0
XII.,XII.,XII.,Chi phí thuế TNDN,,(6.101.799),(4.737.411),,,-6101799.0,-4737411.0
XIII.,XIII.,XIII.,Lợi nhuận sau thuế TNDN,,24.259.028,19.456.788,,,24259028.0,19456788.0
