row_label_raw,row_label_full,col_0,Vốn điều lệ,Thặng dư vốn cổ phần,Quỹ dự trữbổ sung vốn điều lệ,Quỹ dự phòngtài chính,Quỹ đầu tưphát triển,Lợi nhuậnsau thuếchưa phân phối,Tổng cộng,numeric__Vốn điều lệ,numeric__Thặng dư vốn cổ phần,numeric__Quỹ dự trữbổ sung vốn điều lệ,numeric__Quỹ dự phòngtài chính,numeric__Quỹ đầu tưphát triển,numeric__Lợi nhuậnsau thuếchưa phân phối,numeric__Tổng cộng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,48.057.506,8.969.827,5.238.809,10.451.434,-,31.907.687,104.625.263,48057506.0,8969827.0,5238809.0,10451434.0,,31907687.0,104625263.0
Tăng vốn từ chia cổ tức,Tăng vốn từ chia cổ tức,Tăng vốn từ chia cổ tức,5.642.411,-,-,-,-,(5.642.411),-,5642411.0,,,,,-5642411.0,
Lợi nhuận sau thuế trong năm,Lợi nhuận sau thuế trong năm,Lợi nhuận sau thuế trong năm,-,-,-,-,-,19.456.788,19.456.788,,,,,,19456788.0,19456788.0
Điều chỉnh trích lập quỹ của cácnăm tài chính trước,Điều chỉnh trích lập quỹ của cácnăm tài chính trước,Điều chỉnh trích lập quỹ của cácnăm tài chính trước,-,-,3.126,6.250,-,(9.376),-,,,3126.0,6250.0,,-9376.0,
Tạm trích quỹ trong năm,Tạm trích quỹ trong năm,Tạm trích quỹ trong năm,-,-,972.839,1.945.679,-,(2.918.518),-,,,972839.0,1945679.0,,-2918518.0,
Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,-,-,-,-,-,(2.327.358),(2.327.358),,,,,,-2327358.0,-2327358.0
Điều chỉnh khác,Điều chỉnh khác,Điều chỉnh khác,-,-,-,-,-,(2.862),(2.862),,,,,,-2862.0,-2862.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,53.699.917,8.969.827,6.214.774,12.403.363,-,40.463.950,121.751.831,53699917.0,8969827.0,6214774.0,12403363.0,,40463950.0,121751831.0
Lợi nhuận sau thuế trong năm,Lợi nhuận sau thuế trong năm,Lợi nhuận sau thuế trong năm,-,-,-,-,-,24.259.028,24.259.028,,,,,,24259028.0,24259028.0
Điều chỉnh trích lập quỹ của nãmtài chính trước (*),Điều chỉnh trích lập quỹ của nãmtài chính trước (*),Điều chỉnh trích lập quỹ của nãmtài chính trước (*),-,-,972.554,(286),389.079,(1.361.347),-,,,972554.0,-286.0,389079.0,-1361347.0,
Tạm trích quỹ trong năm,Tạm trích quỹ trong năm,Tạm trích quỹ trong năm,-,-,2.425.903,2.425.903,-,(4.851.806),-,,,2425903.0,2425903.0,,-4851806.0,
Trích quỹ khen thưởng phúc lợi (*),Trích quỹ khen thưởng phúc lợi (*),Trích quỹ khen thưởng phúc lợi (*),-,-,-,-,-,(2.608.882),(2.608.882),,,,,,-2608882.0,-2608882.0
Điều chỉnh khác (**),Điều chỉnh khác (**),Điều chỉnh khác (**),-,-,-,-,-,(258.190),(258.190),,,,,,-258190.0,-258190.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,53.699.917,8.969.827,9.613.231,14.828.980,389.079,55.642.753,143.143.787,53699917.0,8969827.0,9613231.0,14828980.0,389079.0,55642753.0,143143787.0
