row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021_1,Tại ngày 31 tháng 12 năm 2021_2,Tại ngày 31 tháng 12 năm 2021_3,Tại ngày 31 tháng 12 năm 2021_4,numeric__Tại ngày 31 tháng 12 năm 2021_1,numeric__Tại ngày 31 tháng 12 năm 2021_2,numeric__Tại ngày 31 tháng 12 năm 2021_3,numeric__Tại ngày 31 tháng 12 năm 2021_4
,,,Thực phẩm VND,Đồ uống VND,Sản phẩm chăm sóc gia đình VND,Hợp nhất VND,,,,
Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,6.341.562.475.475,2.380.405.361.900,1.168.414.276.152,9.890.382.113.527,6341562475475.0,2380405361900.0,1168414276152.0,9890382113527.0
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,,,,20.313.768.045.614,,,,20313768045614.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,,,,30.204.150.159.141,,,,30204150159141.0
Nợ phải trả bộ phận,Nợ phải trả bộ phận,Nợ phải trả bộ phận,1.689.753.295.769,665.686.754.449,349.239.405.269,2.704.679.455.487,1689753295769.0,665686754449.0,349239405269.0,2704679455487.0
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,10.493.776.766.273,,,,10493776766273.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,,,,13.198.456.221.760,,,,13198456221760.0
Cho năm kết thúc ngày 31 tháng 12 năm 2021,Cho năm kết thúc ngày 31 tháng 12 năm 2021,Cho năm kết thúc ngày 31 tháng 12 năm 2021,Cho năm kết thúc ngày 31 tháng 12 năm 2021,Cho năm kết thúc ngày 31 tháng 12 năm 2021,Cho năm kết thúc ngày 31 tháng 12 năm 2021,Cho năm kết thúc ngày 31 tháng 12 năm 2021,,,,
Chi tiêu vốn,Cho năm kết thúc ngày 31 tháng 12 năm 2021 > Chi tiêu vốn,Chi tiêu vốn,824.511.240.305,99.497.876.840,13.428.784.970,937.437.902.115,824511240305.0,99497876840.0,13428784970.0,937437902115.0
Chi tiêu vốn không phân bổ,Cho năm kết thúc ngày 31 tháng 12 năm 2021 > Chi tiêu vốn không phân bổ,Chi tiêu vốn không phân bổ,,,,45.316.925.367,,,,45316925367.0
Khấu hao tài sản cố định hữu hình và bắt động sản đầu tư,Cho năm kết thúc ngày 31 tháng 12 năm 2021 > Khấu hao tài sản cố định hữu hình và bắt động sản đầu tư,Khấu hao tài sản cố định hữu hình và bắt động sản đầu tư,424.086.500.012,157.878.386.269,26.905.566.112,608.870.452.393,424086500012.0,157878386269.0,26905566112.0,608870452393.0
Khấu hao tài sản cố định hữu hình không phân bổ,Cho năm kết thúc ngày 31 tháng 12 năm 2021 > Khấu hao tài sản cố định hữu hình không phân bổ,Khấu hao tài sản cố định hữu hình không phân bổ,,,,4.858.533.036,,,,4858533036.0
"Khấu hao tài sản cố định vô hình, phân bổ lợi thế thương mại và chi phí trả trước dài hạn","Cho năm kết thúc ngày 31 tháng 12 năm 2021 > Khấu hao tài sản cố định vô hình, phân bổ lợi thế thương mại và chi phí trả trước dài hạn","Khấu hao tài sản cố định vô hình, phân bổ lợi thế thương mại và chi phí trả trước dài hạn",48.630.726.333,155.064.571.335,35.914.600.587,239.609.898.255,48630726333.0,155064571335.0,35914600587.0,239609898255.0
Khấu hao tài sản cố định vô hình và phân bổ chi phí trả trước dài hạn không phân bổ,Cho năm kết thúc ngày 31 tháng 12 năm 2021 > Khấu hao tài sản cố định vô hình và phân bổ chi phí trả trước dài hạn không phân bổ,Khấu hao tài sản cố định vô hình và phân bổ chi phí trả trước dài hạn không phân bổ,,,,44.520.181.864,,,,44520181864.0
