row_label_raw,row_label_full,col_0,Thực phẩm (*) VND,Đô uống (*) VND,sóc gia đình (*) VND,Khác VND,Hợp nhất VND,numeric__Thực phẩm (*) VND,numeric__Đô uống (*) VND,numeric__sóc gia đình (*) VND,numeric__Khác VND,numeric__Hợp nhất VND
Tổng doanh thu của bộ phận – thuần,Tổng doanh thu của bộ phận – thuần,Tổng doanh thu của bộ phận – thuần,16.236.990.127.888,5.792.463.891.997,1.305.743.684.209,7.536.777.303,23.342.734.481.397,16236990127888.0,5792463891997.0,1305743684209.0,7536777303.0,23342734481397.0
Lợi nhuận gộp của bộ phận,Lợi nhuận gộp của bộ phận,Lợi nhuận gộp của bộ phận,6.819.280.274.383,2.745.806.065.195,349.565.095.870,4.562.704.903,9.919.214.140.351,6819280274383.0,2745806065195.0,349565095870.0,4562704903.0,9919214140351.0
Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,4.091.945.361.963,1.414.822.519.732,25.650.193.255,4.562.704.903,5.536.980.779.853,4091945361963.0,1414822519732.0,25650193255.0,4562704903.0,5536980779853.0
Chi phí quản lý doanh nghiệp không phân bổ Doanh thu hoạt động tài chính,Chi phí quản lý doanh nghiệp không phân bổ Doanh thu hoạt động tài chính,Chi phí quản lý doanh nghiệp không phân bổ Doanh thu hoạt động tài chính,,,,,(569.444.429.840) 754.808.423.442 (315.433.247.596),,,,,
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,,(569.444.429.840) 754.808.423.442 (315.433.247.596),,,,,
Lợi nhuận thuần từ hoạt động kinh doanh,Chi phí tài chính > Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,,,,,5.406.911.525.859,,,,,5406911525859.0
Thu nhập khác,Chi phí tài chính > Thu nhập khác,Thu nhập khác,,,,,2.151.494.345,,,,,2151494345.0
Chi phí khác,Chi phí tài chính > Chi phí khác,Chi phí khác,,,,,(18.035.234.109),,,,,-18035234109.0
Chi phí thuế thu nhập doanh nghiệp,Chi phí tài chính > Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,,,,,(793.456.530.753),,,,,-793456530753.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Chi phí tài chính > Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,,,4.597.571.255.342,,,,,4597571255342.0
