row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc VND,Nâng cấp tài sản thuê VND,Máy móc và thiết bị VND,Thiết bị văn phòng VND,Phương tiện vận chuyển VND,Tổng VND,numeric__Nhà cửa và vật kiến trúc VND,numeric__Nâng cấp tài sản thuê VND,numeric__Máy móc và thiết bị VND,numeric__Thiết bị văn phòng VND,numeric__Phương tiện vận chuyển VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,2.186.902.214.064,59.609.724.541,5.186.357.112.818,89.366.588.848,20.547.023.503,7.542.782.663.774,2186902214064.0,59609724541.0,5186357112818.0,89366588848.0,20547023503.0,7542782663774.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,-,48.843.556.545,613.415.451,1.137.331.818,50.594.303.814,,,48843556545.0,613415451.0,1137331818.0,50594303814.0
Chuyển từ chi phí xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,406.897.375.608,-,572.526.470.604,13.811.675.607,5.800.468.036,999.035.989.855,406897375608.0,,572526470604.0,13811675607.0,5800468036.0,999035989855.0
Chuyển sang chi phí trả trước ngắn hạn,Nguyên giá > Chuyển sang chi phí trả trước ngắn hạn,Chuyển sang chi phí trả trước ngắn hạn,-,-,-,-,(143.420.334),(143.420.334),,,,,-143420334.0,-143420334.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(3.001.002.809),-,(17.307.436.807),(18.711.000),(1.252.141.414),(21.579.292.030),-3001002809.0,,-17307436807.0,-18711000.0,-1252141414.0,-21579292030.0
Xóa số,Nguyên giá > Xóa số,Xóa số,(2.616.793.966),(248.492.875),(1.631.479.474),(381.646.295),(75.821.200),(4.954.233.810),-2616793966.0,-248492875.0,-1631479474.0,-381646295.0,-75821200.0,-4954233810.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,(2.590.141.364),-,2.590.141.364,-,-,-,-2590141364.0,,2590141364.0,,,
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,2.585.591.651.533,59.361.231.666,5.791.378.365.050,103.391.322.611,26.013.440.409,8.565.736.011.269,2585591651533.0,59361231666.0,5791378365050.0,103391322611.0,26013440409.0,8565736011269.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,534.807.366.328,58.109.696.368,2.670.886.594.946,55.991.787.091,11.691.479.164,3.331.486.923.897,534807366328.0,58109696368.0,2670886594946.0,55991787091.0,11691479164.0,3331486923897.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,109.731.938.549,1.500.028.173,485.309.122.642,9.590.379.316,2.590.120.257,608.721.588.937,109731938549.0,1500028173.0,485309122642.0,9590379316.0,2590120257.0,608721588937.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,(1.091.264.835),-,(14.981.666.234),(18.711.000),(1.252.141.414),(17.343.783.483),-1091264835.0,,-14981666234.0,-18711000.0,-1252141414.0,-17343783483.0
Xóa số,Giá trị hao mòn lũy kế > Xóa số,Xóa số,(1.991.451.725),(248.492.875),(1.631.479.474),(381.646.295),(75.821.200),(4.328.891.569),-1991451725.0,-248492875.0,-1631479474.0,-381646295.0,-75821200.0,-4328891569.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,(339.185.176),-,339.185.176,-,-,-,-339185176.0,,339185176.0,,,
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,641.117.403.141,59.361.231.666,3.139.921.757.056,65.181.809.112,12.953.636.807,3.918.535.837.782,641117403141.0,59361231666.0,3139921757056.0,65181809112.0,12953636807.0,3918535837782.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,1.652.094.847.736,1.500.028.173,2.515.470.517.872,33.374.801.757,8.855.544.339,4.211.295.739.877,1652094847736.0,1500028173.0,2515470517872.0,33374801757.0,8855544339.0,4211295739877.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,1.944.474.248.392,-,2.651.456.607.994,38.209.513.499,13.059.803.602,4.647.200.173.487,1944474248392.0,,2651456607994.0,38209513499.0,13059803602.0,4647200173487.0
