row_label_raw,row_label_full,Cho năm kết thúc ngày 31 tháng 12 năm 2021,Cho năm kết thúc ngày 31 tháng 12 năm 2021_1,Cho năm kết thúc ngày 31 tháng 12 năm 2021_2,Cho năm kết thúc ngày 31 tháng 12 năm 2021_3,Cho năm kết thúc ngày 31 tháng 12 năm 2021_4,Cho năm kết thúc ngày 31 tháng 12 năm 2021_5,numeric__Cho năm kết thúc ngày 31 tháng 12 năm 2021_1,numeric__Cho năm kết thúc ngày 31 tháng 12 năm 2021_2,numeric__Cho năm kết thúc ngày 31 tháng 12 năm 2021_3,numeric__Cho năm kết thúc ngày 31 tháng 12 năm 2021_4,numeric__Cho năm kết thúc ngày 31 tháng 12 năm 2021_5
,,,Thực phẩm (*) VND,Đồ uống (*) VND,Sản phẩm chăm sóc gia đình (*) VND,Khác VND,Hợp nhất VND,,,,,
Tổng doanh thu của bộ phận – thuần,Tổng doanh thu của bộ phận – thuần,Tổng doanh thu của bộ phận – thuần,20.136.187.694.031,6.058.993.152.705,1.515.168.671.398,63.285.699.599,27.773.635.217.733,20136187694031.0,6058993152705.0,1515168671398.0,63285699599.0,27773635217733.0
Lợi nhuận gộp của bộ phận,Lợi nhuận gộp của bộ phận,Lợi nhuận gộp của bộ phận,8.573.930.090.490,2.814.586.561.063,380.641.253.135,21.781.609.277,11.790.939.513.965,8573930090490.0,2814586561063.0,380641253135.0,21781609277.0,11790939513965.0
Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,5.295.436.104.620,1.336.208.187.088,17.394.770.025,21.781.609.277,6.670.820.671.010,5295436104620.0,1336208187088.0,17394770025.0,21781609277.0,6670820671010.0
Chi phí quản lý doanh nghiệp không phân bổ Doanh thu hoạt động tài chính,Chi phí quản lý doanh nghiệp không phân bổ Doanh thu hoạt động tài chính,Chi phí quản lý doanh nghiệp không phân bổ Doanh thu hoạt động tài chính,,,,,(719.636.748.891)720.071.573.861(258.011.430.302),,,,,
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,,(719.636.748.891)720.071.573.861(258.011.430.302),,,,,
Lợi nhuận thuần từ hoạt động kinh doanh,Chi phí tài chính > Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,,,,,6.413.244.065.678,,,,,6413244065678.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,,,5.273.852.200(7.951.540.992)(884.389.378.371),,,,,
Chi phí khác,Chi phí khác,Chi phí khác,,,,,5.273.852.200(7.951.540.992)(884.389.378.371),,,,,
Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,,,,,5.273.852.200(7.951.540.992)(884.389.378.371),,,,,
Lợi nhuận sau thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp > Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,,,5.526.176.998.515,,,,,5526176998515.0
