row_label_raw,row_label_full,Mối quan hệ,Bản chất giao dịch,Giá trị giao dịch > 2021VND,Giá trị giao dịch > 2020VND,Phải thu/(Phải trả) tại ngày > 31/12/2021VND,Phải thu/(Phải trả) tại ngày > 1/1/2021VND,numeric__Bản chất giao dịch,numeric__Giá trị giao dịch > 2021VND,numeric__Giá trị giao dịch > 2020VND,numeric__Phải thu/(Phải trả) tại ngày > 31/12/2021VND,numeric__Phải thu/(Phải trả) tại ngày > 1/1/2021VND
Công ty mẹ,Công ty mẹ,Công ty mẹ,Công ty mẹ,Công ty mẹ,Công ty mẹ,Công ty mẹ,Công ty mẹ,,,,,
Công ty TNHH,Công ty mẹ > Công ty TNHH,Công ty TNHH,Cho vay,180.000.000.000,4.085.000.000.000,4.086.581.871.592,6.927.734.374.092,,180000000000.0,4085000000000.0,4086581871592.0,6927734374092.0
MasanConsumerHoldings,Công ty mẹ > MasanConsumerHoldings,MasanConsumerHoldings,Thu hồi khoản cho vay bằng tiền,18.170.000.000,3.615.000.000.000,-,-,,18170000000.0,3615000000000.0,,
MasanConsumerHoldings,Công ty mẹ > MasanConsumerHoldings,MasanConsumerHoldings,Thu hồi khoản cho vay thông qua cán trừ với cổ tức phải trả,3.002.982.502.500,3.002.982.502.500,-,-,,3002982502500.0,3002982502500.0,,
MasanConsumerHoldings,Công ty mẹ > MasanConsumerHoldings,MasanConsumerHoldings,Thu nhập lãi cho vay,345.963.757.888,564.359.499.584,2.170.989.684.747,1.825.025.926.859,,345963757888.0,564359499584.0,2170989684747.0,1825025926859.0
MasanConsumerHoldings,Công ty mẹ > MasanConsumerHoldings,MasanConsumerHoldings,Cổ tức đã công bố,3.021.089.152.500,3.021.089.152.500,-,-,,3021089152500.0,3021089152500.0,,
MasanConsumerHoldings,Công ty mẹ > MasanConsumerHoldings,MasanConsumerHoldings,Cổ tức đã trả bằng tiền,18.106.650.000,18.106.650.000,-,-,,18106650000.0,18106650000.0,,
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,,,,
Công ty Cổ phần Thực phẩm Cholimex,Công ty liên kết > Công ty Cổ phần Thực phẩm Cholimex,Công ty Cổ phần Thực phẩm Cholimex,Cổ tức nhận được sau ngày mua,13.296.085.000,13.296.085.000,-,-,,13296085000.0,13296085000.0,,
Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,,,,,
Công ty TNHH Masan Master Brewer,Các bên liên quan khác > Công ty TNHH Masan Master Brewer,Công ty TNHH Masan Master Brewer,Bán hàng hóa,947.232,2.567.365,-,-,,947232.0,2567365.0,,
Công ty TNHH Một Thành viênMasan Brewery PY,Các bên liên quan khác > Công ty TNHH Một Thành viênMasan Brewery PY,Công ty TNHH Một Thành viênMasan Brewery PY,Bán hàng hóa,21.250.239,70.539.287,-,-,,21250239.0,70539287.0,,
Công ty TNHH Một Thành viênMasan Brewery Distribution,Các bên liên quan khác > Công ty TNHH Một Thành viênMasan Brewery Distribution,Công ty TNHH Một Thành viênMasan Brewery Distribution,Bán hàng hóa,293.746.266,1.942.759.878,-,-,,293746266.0,1942759878.0,,
Công ty TNHH Một Thành viênMasan Brewery Distribution,Các bên liên quan khác > Công ty TNHH Một Thành viênMasan Brewery Distribution,Công ty TNHH Một Thành viênMasan Brewery Distribution,Mua hàng hóa,10.493.923.889,14.053.884.692,-,-,,10493923889.0,14053884692.0,,
Công ty TNHH Một Thành viênMasan Brewery Distribution,Các bên liên quan khác > Công ty TNHH Một Thành viênMasan Brewery Distribution,Công ty TNHH Một Thành viênMasan Brewery Distribution,Phí hỗ trợ quản lý,31.836.087.648,25.552.551.615,25.645.053.000,25.103.111.299,,31836087648.0,25552551615.0,25645053000.0,25103111299.0
