row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Phần mềm máy tính VND,Quyền khai thác tài nguyên nước khoáng VND,Nhân hiệu VND,Quan hệ khách hàng VND,Tài nguyên nước khoáng VND,Tổng VND,numeric__Quyền sử dụng đất VND,numeric__Phần mềm máy tính VND,numeric__Quyền khai thác tài nguyên nước khoáng VND,numeric__Nhân hiệu VND,numeric__Quan hệ khách hàng VND,numeric__Tài nguyên nước khoáng VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,119.085.818.402,294.035.987.634,72.124.057.348,1.099.626.396.615,423.797.765.850,412.697.763.511,2.421.367.789.360,119085818402.0,294035987634.0,72124057348.0,1099626396615.0,423797765850.0,412697763511.0,2421367789360.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,214.325.000,888.129.000,-,-,-,1.102.454.000,,214325000.0,888129000.0,,,,1102454000.0
Chuyển từ chi phí,Chuyển từ chi phí,Chuyển từ chi phí,Chuyển từ chi phí,Chuyển từ chi phí,Chuyển từ chi phí,Chuyển từ chi phí,Chuyển từ chi phí,Chuyển từ chi phí,Chuyển từ chi phí,,,,,,,
xây dựng cơ bản dở dang,Chuyển từ chi phí > xây dựng cơ bản dở dang,xây dựng cơ bản dở dang,-,10.227.110.017,-,-,-,-,10.227.110.017,,10227110017.0,,,,,10227110017.0
Xóa số,Chuyển từ chi phí > Xóa số,Xóa số,-,(408.329.000),-,-,-,-,(408.329.000),,-408329000.0,,,,,-408329000.0
Số dư cuối năm,Chuyển từ chi phí > Số dư cuối năm,Số dư cuối năm,119.085.818.402,304.069.093.651,73.012.186.348,1.099.626.396.615,423.797.765.850,412.697.763.511,2.432.289.024.377,119085818402.0,304069093651.0,73012186348.0,1099626396615.0,423797765850.0,412697763511.0,2432289024377.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,41.055.176.069,202.736.886.854,23.973.340.392,595.387.114.051,378.433.959.961,117.267.123.660,1.358.853.600.987,41055176069.0,202736886854.0,23973340392.0,595387114051.0,378433959961.0,117267123660.0,1358853600987.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,2.953.213.512,35.608.150.751,3.321.296.672,69.205.267.468,9.451.031.520,21.934.668.276,142.473.628.199,2953213512.0,35608150751.0,3321296672.0,69205267468.0,9451031520.0,21934668276.0,142473628199.0
Xóa số,Giá trị hao mòn lũy kế > Xóa số,Xóa số,-,(408.329.000),-,-,-,-,(408.329.000),,-408329000.0,,,,,-408329000.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,44.008.389.581,237.936.708.605,27.294.637.064,664.592.381.519,387.884.991.481,139.201.791.936,1.500.918.900.186,44008389581.0,237936708605.0,27294637064.0,664592381519.0,387884991481.0,139201791936.0,1500918900186.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,78.030.642.333,91.299.100.780,48.150.716.956,504.239.282.564,45.363.805.889,295.430.639.851,1.062.514.188.373,78030642333.0,91299100780.0,48150716956.0,504239282564.0,45363805889.0,295430639851.0,1062514188373.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,75.077.428.821,66.132.385.046,45.717.549.284,435.034.015.096,35.912.774.369,273.495.971.575,931.370.124.191,75077428821.0,66132385046.0,45717549284.0,435034015096.0,35912774369.0,273495971575.0,931370124191.0
