row_label_raw,row_label_full,Mối quan hệ,Bản chất giao dịch,Giá trị giao dịch > 2021 VND,Giá trị giao dịch > 2020 VND,Phải thu/(Phải trả) tại ngày > 31/12/2021 VND,Phải thu/(Phải trả) tại ngày > 1/1/2021 VND,numeric__Bản chất giao dịch,numeric__Giá trị giao dịch > 2021 VND,numeric__Giá trị giao dịch > 2020 VND,numeric__Phải thu/(Phải trả) tại ngày > 31/12/2021 VND,numeric__Phải thu/(Phải trả) tại ngày > 1/1/2021 VND
Công ty TNHH Một Thành viênProconco Cần Thơ (*),Công ty TNHH Một Thành viênProconco Cần Thơ (*),Công ty TNHH Một Thành viênProconco Cần Thơ (*),Bán hàng hóa,752.529.780,63.090.908,-,-,,752529780.0,63090908.0,,
Công ty TNHH Một Thành viênProconco Cần Thơ (*),Công ty TNHH Một Thành viênProconco Cần Thơ (*),Công ty TNHH Một Thành viênProconco Cần Thơ (*),Phí hỗ trợ quản lý,1.925.292.913,2.218.852.516,-,1.143.397.827,,1925292913.0,2218852516.0,,1143397827.0
Công ty TNHH Một Thành viênCon Cò Bình Định (*),Công ty TNHH Một Thành viênCon Cò Bình Định (*),Công ty TNHH Một Thành viênCon Cò Bình Định (*),Bán hàng hóa,9.643.263,19.636.363,-,-,,9643263.0,19636363.0,,
Công ty TNHH Một Thành viênCon Cò Bình Định (*),Công ty TNHH Một Thành viênCon Cò Bình Định (*),Công ty TNHH Một Thành viênCon Cò Bình Định (*),Phí hỗ trợ quản lý,1.318.958.768,1.273.739.897,-,657.801.465,,1318958768.0,1273739897.0,,657801465.0
Công ty TNHH Sản xuất vàThương mại Proconco Hưng Yên (*),Công ty TNHH Sản xuất vàThương mại Proconco Hưng Yên (*),Công ty TNHH Sản xuất vàThương mại Proconco Hưng Yên (*),Bán hàng hóa,11.460.909,8.043.454,-,-,,11460909.0,8043454.0,,
Công ty TNHH Sản xuất vàThương mại Proconco Hưng Yên (*),Công ty TNHH Sản xuất vàThương mại Proconco Hưng Yên (*),Công ty TNHH Sản xuất vàThương mại Proconco Hưng Yên (*),Phí hỗ trợ quản lý,266.827.937,264.268.445,-,137.079.999,,266827937.0,264268445.0,,137079999.0
Công ty Cổ phần Masan MEATLife,Công ty Cổ phần Masan MEATLife,Công ty Cổ phần Masan MEATLife,Bán hàng hóa,76.855.801,168.500.010,2.800.001,1.800.002,,76855801.0,168500010.0,2800001.0,1800002.0
Công ty Cổ phần Masan MEATLife,Công ty Cổ phần Masan MEATLife,Công ty Cổ phần Masan MEATLife,Phí hỗ trợ quản lý,8.607.773.646,8.634.102.192,3.460.908.168,4.562.023.846,,8607773646.0,8634102192.0,3460908168.0,4562023846.0
Công ty TNHH MEATDeli HN(trước đây là “Công ty TNHH MNS Meat Hà Nam”),Công ty TNHH MEATDeli HN(trước đây là “Công ty TNHH MNS Meat Hà Nam”),Công ty TNHH MEATDeli HN(trước đây là “Công ty TNHH MNS Meat Hà Nam”),Bán hàng hóa và dịch vụ,1.961.801.584,1.946.570.540,510.203.536,22.632.600,,1961801584.0,1946570540.0,510203536.0,22632600.0
Công ty TNHH MEATDeli HN(trước đây là “Công ty TNHH MNS Meat Hà Nam”),Công ty TNHH MEATDeli HN(trước đây là “Công ty TNHH MNS Meat Hà Nam”),Công ty TNHH MEATDeli HN(trước đây là “Công ty TNHH MNS Meat Hà Nam”),Trả trước tiền mua hàng,-,498.592.776,-,498.592.776,,,498592776.0,,498592776.0
Công ty TNHH MEATDeli HN(trước đây là “Công ty TNHH MNS Meat Hà Nam”),Công ty TNHH MEATDeli HN(trước đây là “Công ty TNHH MNS Meat Hà Nam”),Công ty TNHH MEATDeli HN(trước đây là “Công ty TNHH MNS Meat Hà Nam”),Mua hàng hóa và dịch vụ,18.474.017.663,52.469.330.268,(3.541.747.791),(7.296.009.304),,18474017663.0,52469330268.0,-3541747791.0,-7296009304.0
Công ty TNHH MEATDeli HN(trước đây là “Công ty TNHH MNS Meat Hà Nam”),Công ty TNHH MEATDeli HN(trước đây là “Công ty TNHH MNS Meat Hà Nam”),Công ty TNHH MEATDeli HN(trước đây là “Công ty TNHH MNS Meat Hà Nam”),Mua tài sản cố định,-,7.542.750.000,-,-,,,7542750000.0,,
Công ty TNHH MEATDeli HN(trước đây là “Công ty TNHH MNS Meat Hà Nam”),Công ty TNHH MEATDeli HN(trước đây là “Công ty TNHH MNS Meat Hà Nam”),Công ty TNHH MEATDeli HN(trước đây là “Công ty TNHH MNS Meat Hà Nam”),Phí hỗ trợ quản lý,7.822.891.631,13.624.058.876,5.377.861.008,7.564.922.630,,7822891631.0,13624058876.0,5377861008.0,7564922630.0
Công ty TNHH MEATDeli Sài Gòn,Công ty TNHH MEATDeli Sài Gòn,Công ty TNHH MEATDeli Sài Gòn,Bán hàng hóa và dịch vụ,794.967.983,22.816.576,114.244.571,25.098.232,,794967983.0,22816576.0,114244571.0,25098232.0
Công ty TNHH MEATDeli Sài Gòn,Công ty TNHH MEATDeli Sài Gòn,Công ty TNHH MEATDeli Sài Gòn,Mua hàng hóa,40.470.776.427,1.678.297.842,(3.300.454.639),(949.631.340),,40470776427.0,1678297842.0,-3300454639.0,-949631340.0
Công ty TNHH MEATDeli Sài Gòn,Công ty TNHH MEATDeli Sài Gòn,Công ty TNHH MEATDeli Sài Gòn,Phí hỗ trợ quản lý,4.892.782.698,-,3.575.300.853,-,,4892782698.0,,3575300853.0,
Công ty TNHH Thực phẩm 3F VIỆT,Công ty TNHH Thực phẩm 3F VIỆT,Công ty TNHH Thực phẩm 3F VIỆT,Bán hàng hóa và dịch vụ,2.295.297.104,120.288.000,1.284.042.751,209.501.600,,2295297104.0,120288000.0,1284042751.0,209501600.0
Công ty TNHH Thực phẩm 3F VIỆT,Công ty TNHH Thực phẩm 3F VIỆT,Công ty TNHH Thực phẩm 3F VIỆT,Mua hàng hóa,35.082.724.115,2.097.500.000,(5.747.520.000),(1.799.500.000),,35082724115.0,2097500000.0,-5747520000.0,-1799500000.0
Công ty Cổ phần 3F VIỆT,Công ty Cổ phần 3F VIỆT,Công ty Cổ phần 3F VIỆT,Bán hàng hóa,24.399.003,-,-,-,,24399003.0,,,
Công ty TNHH Khai thác Chế biếnKhoáng sản Núi Pháo,Công ty TNHH Khai thác Chế biếnKhoáng sản Núi Pháo,Công ty TNHH Khai thác Chế biếnKhoáng sản Núi Pháo,Bán hàng hóa,1.180.851.176,1.364.967.124,80.359.849,86.774.470,,1180851176.0,1364967124.0,80359849.0,86774470.0
Công ty TNHH Khai thác Chế biếnKhoáng sản Núi Pháo,Công ty TNHH Khai thác Chế biếnKhoáng sản Núi Pháo,Công ty TNHH Khai thác Chế biếnKhoáng sản Núi Pháo,Phí hỗ trợ quản lý,786.572.799,1.273.608.625,865.230.079,4.439.840.974,,786572799.0,1273608625.0,865230079.0,4439840974.0
