row_label_raw,row_label_full,col_0,Tại ngày31/12/2018,Tại ngày06/4/2018,numeric__Tại ngày31/12/2018,numeric__Tại ngày06/4/2018
Trả trước cho các bên liên quan,Trả trước cho các bên liên quan,Trả trước cho các bên liên quan,3.503.493.506,5.709.378.441,3503493506.0,5709378441.0
Công ty Cổ phần Sông Đà 11,Công ty Cổ phần Sông Đà 11,Công ty Cổ phần Sông Đà 11,10.010.783,1.166.745.184,10010783.0,1166745184.0
Công ty TNHH Tư vấn Xây dựng Sông Đà - Ucrin,Công ty TNHH Tư vấn Xây dựng Sông Đà - Ucrin,Công ty TNHH Tư vấn Xây dựng Sông Đà - Ucrin,76.237.000,355.110.549,76237000.0,355110549.0
Công ty Cổ phần Sông Đà 10.9,Công ty Cổ phần Sông Đà 10.9,Công ty Cổ phần Sông Đà 10.9,1.384.839.467,2.500.881.708,1384839467.0,2500881708.0
Công ty TNHH MTV Sông Đà 11 Thăng Long,Công ty TNHH MTV Sông Đà 11 Thăng Long,Công ty TNHH MTV Sông Đà 11 Thăng Long,2.032.406.256,,2032406256.0,
Công ty Cổ phần Phát triển nhà Khánh Hòa,Công ty Cổ phần Phát triển nhà Khánh Hòa,Công ty Cổ phần Phát triển nhà Khánh Hòa,,1.686.641.000,,1686641000.0
Trả trước cho người bán khác,Trả trước cho người bán khác,Trả trước cho người bán khác,454.118.455.311,325.717.925.900,454118455311.0,325717925900.0
Công ty Cổ phần Vật tư Xăng dầu Lai Châu,Công ty Cổ phần Vật tư Xăng dầu Lai Châu,Công ty Cổ phần Vật tư Xăng dầu Lai Châu,47.757.884.047,,47757884047.0,
Công ty Cổ phần Xây dựng Thương mại An Xuân Thịnh,Công ty Cổ phần Xây dựng Thương mại An Xuân Thịnh,Công ty Cổ phần Xây dựng Thương mại An Xuân Thịnh,63.727.569.730,35.678.453.214,63727569730.0,35678453214.0
Công ty TNHH Nhạc Sơn,Công ty TNHH Nhạc Sơn,Công ty TNHH Nhạc Sơn,54.548.208.601,8.506.000.000,54548208601.0,8506000000.0
Các nhà cung cấp khác,Các nhà cung cấp khác,Các nhà cung cấp khác,288.084.792.933,281.533.472.686,288084792933.0,281533472686.0
Cộng,Cộng,Cộng,457.621.948.817,331.427.304.341,457621948817.0,331427304341.0
