row_label_raw,row_label_full,col_0,Tổng dư nợ vay,Cho Xi măng Hạ Long vay lại,Phục vụ cho SXKD của Tập đoàn,numeric__Tổng dư nợ vay,numeric__Cho Xi măng Hạ Long vay lại,numeric__Phục vụ cho SXKD của Tập đoàn
Thời hạn dưới 1 năm,Thời hạn dưới 1 năm,Thời hạn dưới 1 năm,1.371.178.510.406,1.061.512.960.765,309.665.549.641,1371178510406.0,1061512960765.0,309665549641.0
Vay Ngân hàng NIB,Vay Ngân hàng NIB,Vay Ngân hàng NIB,529.361.883.616,270.347.528.940,259.014.354.676,529361883616.0,270347528940.0,259014354676.0
Vay Ngân hàng Natixis,Vay Ngân hàng Natixis,Vay Ngân hàng Natixis,157.975.694.559,157.975.694.559,,157975694559.0,157975694559.0,
Vay Ngân hàng ADB,Vay Ngân hàng ADB,Vay Ngân hàng ADB,68.271.057.503,17.619.862.538,50.651.194.965,68271057503.0,17619862538.0,50651194965.0
Vay Bộ Tài chính,Vay Bộ Tài chính,Vay Bộ Tài chính,615.569.874.728,615.569.874.728,,615569874728.0,615569874728.0,
Thời hạn trên 1 năm,Thời hạn trên 1 năm,Thời hạn trên 1 năm,2.473.779.610.518,674.272.078.065,1.799.507.532.453,2473779610518.0,674272078065.0,1799507532453.0
Vay Ngân hàng NIB,Vay Ngân hàng NIB,Vay Ngân hàng NIB,76.314.582.004,44.019.027.938,32.295.554.066,76314582004.0,44019027938.0,32295554066.0
Vay Ngân hàng ADB,Vay Ngân hàng ADB,Vay Ngân hàng ADB,2.397.465.028.514,630.253.050.127,1.767.211.978.387,2397465028514.0,630253050127.0,1767211978387.0
Cộng,Cộng,Cộng,3.844.958.120.924,1.735.785.038.830,2.109.173.082.094,3844958120924.0,1735785038830.0,2109173082094.0
Vay Ngân hàng NIB,Vay Ngân hàng NIB,Vay Ngân hàng NIB,605.676.465.620,314.366.556.878,291.309.908.742,605676465620.0,314366556878.0,291309908742.0
Vay Ngân hàng Natixis,Vay Ngân hàng Natixis,Vay Ngân hàng Natixis,157.975.694.559,157.975.694.559,,157975694559.0,157975694559.0,
Vay Ngân hàng ADB,Vay Ngân hàng ADB,Vay Ngân hàng ADB,2.465.736.086.017,647.872.912.665,1.817.863.173.352,2465736086017.0,647872912665.0,1817863173352.0
Vay Bộ Tài chính,Vay Bộ Tài chính,Vay Bộ Tài chính,615.569.874.728,615.569.874.728,,615569874728.0,615569874728.0,
