row_label_raw,row_label_full,col_0,Tại ngày31/12/2018,Tại ngày06/4/2018,numeric__Tại ngày31/12/2018,numeric__Tại ngày06/4/2018
Phải thu các bên liên quan,Phải thu các bên liên quan,Phải thu các bên liên quan,918.123.417.016,896.465.075.307,918123417016.0,896465075307.0
Công ty Cổ phần Sông Đà 11,Công ty Cổ phần Sông Đà 11,Công ty Cổ phần Sông Đà 11,375.233.143,375.233.143,375233143.0,375233143.0
Công ty TNHH MTV Sông Đà 11 Thăng Long,Công ty TNHH MTV Sông Đà 11 Thăng Long,Công ty TNHH MTV Sông Đà 11 Thăng Long,270,,270.0,
Công ty Cổ phần Điện Việt - Lào,Công ty Cổ phần Điện Việt - Lào,Công ty Cổ phần Điện Việt - Lào,36.844.040.047,26.922.950.231,36844040047.0,26922950231.0
Công ty TNHH Điện Xekaman 1,Công ty TNHH Điện Xekaman 1,Công ty TNHH Điện Xekaman 1,296.389.184.449,302.020.049.959,296389184449.0,302020049959.0
Công ty TNHH Điện Xekaman 3,Công ty TNHH Điện Xekaman 3,Công ty TNHH Điện Xekaman 3,566.856.030.435,558.746.470.965,566856030435.0,558746470965.0
Công ty TNHH Tư vấn xây dựng Sông Đà - Ucrin,Công ty TNHH Tư vấn xây dựng Sông Đà - Ucrin,Công ty TNHH Tư vấn xây dựng Sông Đà - Ucrin,3.596.165.254,1.962.157.963,3596165254.0,1962157963.0
Công ty Cổ phần Đầu tư Xây dựng và Phát triểnĐô thị Sông Đà,Công ty Cổ phần Đầu tư Xây dựng và Phát triểnĐô thị Sông Đà,Công ty Cổ phần Đầu tư Xây dựng và Phát triểnĐô thị Sông Đà,407.426.143,407.426.143,407426143.0,407426143.0
Công ty Cổ phần Đầu tư Phát triển Đô thị và Khu công nghiệp Sông Đà,Công ty Cổ phần Đầu tư Phát triển Đô thị và Khu công nghiệp Sông Đà,Công ty Cổ phần Đầu tư Phát triển Đô thị và Khu công nghiệp Sông Đà,12.313.584.117,4.691.185.706,12313584117.0,4691185706.0
Công ty Cổ phần Năng lượng Someco 1,Công ty Cổ phần Năng lượng Someco 1,Công ty Cổ phần Năng lượng Someco 1,1.339.601.197,1.339.601.197,1339601197.0,1339601197.0
Công ty Cổ phần Phát triển nhà Khánh Hòa,Công ty Cổ phần Phát triển nhà Khánh Hòa,Công ty Cổ phần Phát triển nhà Khánh Hòa,2.151.961,,2151961.0,
Phải thu các khách hàng khác,Phải thu các khách hàng khác,Phải thu các khách hàng khác,3.639.911.063.204,3.527.177.622.872,3639911063204.0,3527177622872.0
Ban Quản lý Dự án Nhà máyThủy điện Đồng Nai 5,Ban Quản lý Dự án Nhà máyThủy điện Đồng Nai 5,Ban Quản lý Dự án Nhà máyThủy điện Đồng Nai 5,455.499.407.652,470.353.102.719,455499407652.0,470353102719.0
Công ty Mua Bán Điện - Tập đoàn Điện lực Việt Nam,Công ty Mua Bán Điện - Tập đoàn Điện lực Việt Nam,Công ty Mua Bán Điện - Tập đoàn Điện lực Việt Nam,165.963.309.859,250.952.646.333,165963309859.0,250952646333.0
Công ty Cổ phần Đầu tư Đèo Cả,Công ty Cổ phần Đầu tư Đèo Cả,Công ty Cổ phần Đầu tư Đèo Cả,141.147.860.198,141.147.860.198,141147860198.0,141147860198.0
Công ty TNHH Xây dựng Hưng Hải,Công ty TNHH Xây dựng Hưng Hải,Công ty TNHH Xây dựng Hưng Hải,114.223.723.727,114.223.723.727,114223723727.0,114223723727.0
Liên danh CMC/ITD/Song Đa,Liên danh CMC/ITD/Song Đa,Liên danh CMC/ITD/Song Đa,161.757.904.400,22.831.395.038,161757904400.0,22831395038.0
Công ty Cổ phần Sông Đà - Hoàng Long,Công ty Cổ phần Sông Đà - Hoàng Long,Công ty Cổ phần Sông Đà - Hoàng Long,74.987.697.224,118.109.702.649,74987697224.0,118109702649.0
Tổng công ty Cổ phần Thương mại Xây dựng,Tổng công ty Cổ phần Thương mại Xây dựng,Tổng công ty Cổ phần Thương mại Xây dựng,124.777.128.485,120.331.642.957,124777128485.0,120331642957.0
Ban quản lý Dự án Nhà máy Thủy điện Sơn La,Ban quản lý Dự án Nhà máy Thủy điện Sơn La,Ban quản lý Dự án Nhà máy Thủy điện Sơn La,30.708.530.105,107.354.933.312,30708530105.0,107354933312.0
Các khách hàng khác,Các khách hàng khác,Các khách hàng khác,2.370.845.501.554,2.181.872.615.939,2370845501554.0,2181872615939.0
Cộng,Cộng,Cộng,4.558.034.480.220,4.423.642.698.179,4558034480220.0,4423642698179.0
