row_label_raw,row_label_full,col_0,nghiệp,Xây lắp,Lĩnh vực khác,Cộng,numeric__nghiệp,numeric__Xây lắp,numeric__Lĩnh vực khác,numeric__Cộng
Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,1.761.100.080.071,3.589.389.914.695,674.350.752.332,6.024.840.747.098,1761100080071.0,3589389914695.0,674350752332.0,6024840747098.0
Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận,,,,,,,,
Tổng doanh thu thuần về bán hàng và cung cấp dịch vụ,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Tổng doanh thu thuần về bán hàng và cung cấp dịch vụ,Tổng doanh thu thuần về bán hàng và cung cấp dịch vụ,1.761.100.080.071,3.589.389.914.695,674.350.752.332,6.024.840.747.098,1761100080071.0,3589389914695.0,674350752332.0,6024840747098.0
Kết quả kinh doanh theo bộ phận,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,940.936.380.669,462.543.608.481,100.905.778.559,1.504.385.767.709,940936380669.0,462543608481.0,100905778559.0,1504385767709.0
Các chi phí không phân bổ theo bộ phận,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,,,,(517.152.186.423),,,,-517152186423.0
Lợi nhuận từ hoạt động kinh doanh,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,,,,987.233.581.286,,,,987233581286.0
Doanh thu hoạt động tài chính,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,242.005.304.675,,,,242005304675.0
Chi phí tài chính,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Chi phí tài chính,Chi phí tài chính,,,,(882.060.756.296),,,,-882060756296.0
"Phần lãi hoặc lỗ trong công ty liên doanh, liên kết","Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Phần lãi hoặc lỗ trong công ty liên doanh, liên kết","Phần lãi hoặc lỗ trong công ty liên doanh, liên kết",,,,22.493.282.981,,,,22493282981.0
Thu nhập khác,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Thu nhập khác,Thu nhập khác,,,,45.799.803.249,,,,45799803249.0
Chi phí khác,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Chi phí khác,Chi phí khác,,,,(20.947.251.988),,,,-20947251988.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,,,,(58.201.657.495),,,,-58201657495.0
Chi phí thuế thu nhập doanh nghiệp hoãn lại,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,,,,(2.818.715.824),,,,-2818715824.0
