row_label_raw,row_label_full,col_0,Tỷ lệvốn góp%,Phần lợi nhuận sauthuế hoặc lỗ phátsinh trong năm củaCông ty liên kết,Phần lợi nhuậnhoặc lỗ của Côngty mẹ trong côngty liên kết,numeric__Tỷ lệvốn góp%,numeric__Phần lợi nhuận sauthuế hoặc lỗ phátsinh trong năm củaCông ty liên kết,numeric__Phần lợi nhuậnhoặc lỗ của Côngty mẹ trong côngty liên kết
Công ty Cổ phần Đầu tư Xây dựng và Pháttriển Đô thị Sông Đà,Công ty Cổ phần Đầu tư Xây dựng và Pháttriển Đô thị Sông Đà,Công ty Cổ phần Đầu tư Xây dựng và Pháttriển Đô thị Sông Đà,"30,00%",5.255.886.377,1.576.765.913,0.3,5255886377.0,1576765913.0
Công ty TNHH Tư Vấn Xây dựng Sông Đà - UCRIN,Công ty TNHH Tư Vấn Xây dựng Sông Đà - UCRIN,Công ty TNHH Tư Vấn Xây dựng Sông Đà - UCRIN,"50,00%",366.003.291,114.130.991,0.5,366003291.0,114130991.0
Công ty Cổ phần Cao su Phú Riềng Kratie,Công ty Cổ phần Cao su Phú Riềng Kratie,Công ty Cổ phần Cao su Phú Riềng Kratie,"25,00%",,(90.600.000.000),0.25,,-90600000000.0
Công ty Cổ phần Đầu tư Phát triển Đô thị vàKhu Công nghiệp Sông Đà,Công ty Cổ phần Đầu tư Phát triển Đô thị vàKhu Công nghiệp Sông Đà,Công ty Cổ phần Đầu tư Phát triển Đô thị vàKhu Công nghiệp Sông Đà,"36,65%",60.277.965.091,22.093.163.188,0.3665,60277965091.0,22093163188.0
Công ty Cổ phần Sông Đà 11,Công ty Cổ phần Sông Đà 11,Công ty Cổ phần Sông Đà 11,"26,86%",19.783.104.959,1.900.161.159,0.2686,19783104959.0,1900161159.0
Công ty Cổ phần Phát triển nhà Khánh Hòa,Công ty Cổ phần Phát triển nhà Khánh Hòa,Công ty Cổ phần Phát triển nhà Khánh Hòa,"36,00%",331.683.649,(1.969.293.466),0.36,331683649.0,-1969293466.0
Công ty Cổ phần Điện Việt - Lào,Công ty Cổ phần Điện Việt - Lào,Công ty Cổ phần Điện Việt - Lào,"38,29%",255.805.616.182,89.807.783.794,0.3829,255805616182.0,89807783794.0
Phần lợi nhuận trong Công ty liên kết củaCông ty con trong Báo cáo hợp nhất,Phần lợi nhuận trong Công ty liên kết củaCông ty con trong Báo cáo hợp nhất,Phần lợi nhuận trong Công ty liên kết củaCông ty con trong Báo cáo hợp nhất,,,(429.428.598),,,-429428598.0
Cộng,Cộng,Cộng,,341.820.259.549,22.493.282.981,,341820259549.0,22493282981.0
