row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc",Máy móc vàthiết bị,"Phương tiện vântải, truyền dẫn","Thiết bị, dụng cụquản lý",Tài sảncố định khác,Cộng,"numeric__Nhà cửa,vật kiến trúc",numeric__Máy móc vàthiết bị,"numeric__Phương tiện vântải, truyền dẫn","numeric__Thiết bị, dụng cụquản lý",numeric__Tài sảncố định khác,numeric__Cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Tại ngày 06/4/2018,Nguyên giá > Tại ngày 06/4/2018,Tại ngày 06/4/2018,8.904.361.383.555,6.713.608.472.222,1.200.135.505.924,29.421.464.381,840.117.071.737,17.687.643.897.819,8904361383555.0,6713608472222.0,1200135505924.0,29421464381.0,840117071737.0,17687643897819.0
Mua sắm mới,Nguyên giá > Mua sắm mới,Mua sắm mới,243.181.818,37.583.151.569,4.405.669.344,1.663.975.697,637.950.000,44.533.928.428,243181818.0,37583151569.0,4405669344.0,1663975697.0,637950000.0,44533928428.0
Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,7.193.532.375,187.854.320,,,15.951.954.443,23.333.341.138,7193532375.0,187854320.0,,,15951954443.0,23333341138.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",,(61.918.251.315),(37.669.988.002),(999.862.125),,(100.588.101.442),,-61918251315.0,-37669988002.0,-999862125.0,,-100588101442.0
Phân loại sang chi phí trả trước,Nguyên giá > Phân loại sang chi phí trả trước,Phân loại sang chi phí trả trước,(1.865.390.909),(4.668.728.057),,(671.481.818),,(7.205.600.784),-1865390909.0,-4668728057.0,,-671481818.0,,-7205600784.0
Bàn giao về DATC,Nguyên giá > Bàn giao về DATC,Bàn giao về DATC,(2.944.190.436),(6.282.882.526),(375.192.202),(185.650.000),,(9.787.915.164),-2944190436.0,-6282882526.0,-375192202.0,-185650000.0,,-9787915164.0
Điều chỉnh theo quyết toàn vốn đầu tucông trình,Nguyên giá > Điều chỉnh theo quyết toàn vốn đầu tucông trình,Điều chỉnh theo quyết toàn vốn đầu tucông trình,566.338.043.982,190.076.578.622,797.547.275,,,757.212.169.879,566338043982.0,190076578622.0,797547275.0,,,757212169879.0
Tăng/giảm khác,Nguyên giá > Tăng/giảm khác,Tăng/giảm khác,(167.804.036),2.808.880.688,(3.081.933.480),(132.300.000),(4.521.477.576),(5.094.634.404),-167804036.0,2808880688.0,-3081933480.0,-132300000.0,-4521477576.0,-5094634404.0
Tại ngày 31/12/2018,Nguyên giá > Tại ngày 31/12/2018,Tại ngày 31/12/2018,9.473.158.756.349,6.871.395.075.523,1.164.211.608.859,29.096.146.135,852.185.498.604,18.390.047.085.470,9473158756349.0,6871395075523.0,1164211608859.0,29096146135.0,852185498604.0,18390047085470.0
Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,,,,,,
Tại ngày 06/4/2018,Giá trị hao mòn > Tại ngày 06/4/2018,Tại ngày 06/4/2018,2.560.865.144.968,4.102.483.407.580,889.341.888.272,21.763.139.462,128.028.549.731,7.702.482.130.013,2560865144968.0,4102483407580.0,889341888272.0,21763139462.0,128028549731.0,7702482130013.0
Khẩu hao trong kỳ,Giá trị hao mòn > Khẩu hao trong kỳ,Khẩu hao trong kỳ,426.295.078.374,218.157.354.388,44.763.890.085,2.341.565.604,26.550.925.403,718.108.813.854,426295078374.0,218157354388.0,44763890085.0,2341565604.0,26550925403.0,718108813854.0
Hao mòn Tài sản cố định phúc lợi,Giá trị hao mòn > Hao mòn Tài sản cố định phúc lợi,Hao mòn Tài sản cố định phúc lợi,55.316.732,,,,,55.316.732,55316732.0,,,,,55316732.0
"Thanh lý, nhượng bán","Giá trị hao mòn > Thanh lý, nhượng bán","Thanh lý, nhượng bán",,(61.374.791.723),(37.128.455.275),(990.996.535),,(99.494.243.533),,-61374791723.0,-37128455275.0,-990996535.0,,-99494243533.0
Phân loại sang chi phí trả trước,Giá trị hao mòn > Phân loại sang chi phí trả trước,Phân loại sang chi phí trả trước,(1.393.272.572),(4.267.625.585),,(662.015.382),,(6.322.913.539),-1393272572.0,-4267625585.0,,-662015382.0,,-6322913539.0
Tăng/giảm khác,Giá trị hao mòn > Tăng/giảm khác,Tăng/giảm khác,(22.125.161),(1.786.114.968),(1.049.484.765),(169.499.995),(615.543.335),(3.642.768.224),-22125161.0,-1786114968.0,-1049484765.0,-169499995.0,-615543335.0,-3642768224.0
Tại ngày 31/12/2018,Giá trị hao mòn > Tại ngày 31/12/2018,Tại ngày 31/12/2018,2.985.800.142.341,4.253.212.229.692,895.927.838.317,22.282.193.154,153.963.931.799,8.311.186.335.303,2985800142341.0,4253212229692.0,895927838317.0,22282193154.0,153963931799.0,8311186335303.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày 06/4/2018,Giá trị còn lại > Tại ngày 06/4/2018,Tại ngày 06/4/2018,6.343.496.238.587,2.611.125.064.642,310.793.617.652,7.658.324.919,712.088.522.006,9.985.161.767.806,6343496238587.0,2611125064642.0,310793617652.0,7658324919.0,712088522006.0,9985161767806.0
Tại ngày 31/12/2018,Giá trị còn lại > Tại ngày 31/12/2018,Tại ngày 31/12/2018,6.487.358.614.008,2.618.182.845.831,268.283.770.542,6.813.952.981,698.221.566.805,10.078.860.750.167,6487358614008.0,2618182845831.0,268283770542.0,6813952981.0,698221566805.0,10078860750167.0
