row_label_raw,row_label_full,col_0,Tại ngày31/12/2018,Tại ngày06/4/2018,numeric__Tại ngày31/12/2018,numeric__Tại ngày06/4/2018
Mua sắm TSCĐ,Mua sắm TSCĐ,Mua sắm TSCĐ,1.028.905.455,260.195.230,1028905455.0,260195230.0
XDCB dở dang,XDCB dở dang,XDCB dở dang,487.024.717.357,1.132.223.640.518,487024717357.0,1132223640518.0
Dự án Quốc lộ 1A đoạn tránh thị xã Hà Tĩnh,Dự án Quốc lộ 1A đoạn tránh thị xã Hà Tĩnh,Dự án Quốc lộ 1A đoạn tránh thị xã Hà Tĩnh,17.923.091.526,66.772.743.344,17923091526.0,66772743344.0
Dự án Thủy điện Sê Kông 3,Dự án Thủy điện Sê Kông 3,Dự án Thủy điện Sê Kông 3,48.849.426.755,48.849.426.755,48849426755.0,48849426755.0
Công trình Thủy điện Nậm Chiến,Công trình Thủy điện Nậm Chiến,Công trình Thủy điện Nậm Chiến,20.843.879.812,792.309.352.475,20843879812.0,792309352475.0
Công trình thủy điện Đắk lô,Công trình thủy điện Đắk lô,Công trình thủy điện Đắk lô,30.537.404.553,30.537.404.553,30537404553.0,30537404553.0
Công trình thủy điện Pake,Công trình thủy điện Pake,Công trình thủy điện Pake,342.242.641.855,173.796.669.075,342242641855.0,173796669075.0
Các công trình khác,Các công trình khác,Các công trình khác,26.628.272.856,19.958.044.316,26628272856.0,19958044316.0
Sửa chữa lớn TSCĐ,Sửa chữa lớn TSCĐ,Sửa chữa lớn TSCĐ,17.237.967.404,8.827.615.878,17237967404.0,8827615878.0
Cộng,Cộng,Cộng,505.291.590.216,1.141.311.451.626,505291590216.0,1141311451626.0
