row_label_raw,row_label_full,Tên công ty,Vốn góp đến ngày 31/12/2018,"Tăng, giảm giá trị đầu tư do hợp nhất theo phương pháp vốn chủ",Giá trị khoản đầu tư tại ngày 31/12/2018,numeric__Vốn góp đến ngày 31/12/2018,"numeric__Tăng, giảm giá trị đầu tư do hợp nhất theo phương pháp vốn chủ",numeric__Giá trị khoản đầu tư tại ngày 31/12/2018
Công ty Cổ phần Sông Đà 27,Công ty Cổ phần Sông Đà 27,Công ty Cổ phần Sông Đà 27,5.856.360.000,(5.856.360.000),,5856360000.0,-5856360000.0,
Công ty CP Sông Đà 10.9,Công ty CP Sông Đà 10.9,Công ty CP Sông Đà 10.9,4.560.000.000,7.849.552.807,12.409.552.807,4560000000.0,7849552807.0,12409552807.0
Công ty Cổ phần Sông Đà 12 - Nguyên Lộc,Công ty Cổ phần Sông Đà 12 - Nguyên Lộc,Công ty Cổ phần Sông Đà 12 - Nguyên Lộc,7.080.000.000,(1.506.473.535),5.573.526.465,7080000000.0,-1506473535.0,5573526465.0
Công ty Cổ phần Năng lượng Someco 1,Công ty Cổ phần Năng lượng Someco 1,Công ty Cổ phần Năng lượng Someco 1,39.124.823.018,(1.520.312.333),37.604.510.685,39124823018.0,-1520312333.0,37604510685.0
Tổng cộng,Tổng cộng,Tổng cộng,56.621.183.018,(1.033.593.061),55.587.589.957,56621183018.0,-1033593061.0,55587589957.0
