row_label_raw,row_label_full,col_0,Tại ngày31/12/2018,Tại ngày06/4/2018,numeric__Tại ngày31/12/2018,numeric__Tại ngày06/4/2018
Phải trả các bên liên quan,Phải trả các bên liên quan,Phải trả các bên liên quan,31.152.370.956,32.348.597.525,31152370956.0,32348597525.0
Công ty TNHH Tư vấn Xây dựng Sông Đà - Ucrin,Công ty TNHH Tư vấn Xây dựng Sông Đà - Ucrin,Công ty TNHH Tư vấn Xây dựng Sông Đà - Ucrin,1.758.904.122,1.770.399.466,1758904122.0,1770399466.0
Công ty Cổ phần Sông Đà 11,Công ty Cổ phần Sông Đà 11,Công ty Cổ phần Sông Đà 11,9.948.735.511,10.942.288.511,9948735511.0,10942288511.0
Công ty Cổ phần Sông Đà 10.9,Công ty Cổ phần Sông Đà 10.9,Công ty Cổ phần Sông Đà 10.9,9.076.273.157,9.628.968.779,9076273157.0,9628968779.0
Công ty TNHH MTV Sông Đà 11 Thăng Long,Công ty TNHH MTV Sông Đà 11 Thăng Long,Công ty TNHH MTV Sông Đà 11 Thăng Long,10.368.458.166,10.006.940.769,10368458166.0,10006940769.0
Phải trả các nhà cung cấp khác,Phải trả các nhà cung cấp khác,Phải trả các nhà cung cấp khác,151.471.497.716,170.611.697.861,151471497716.0,170611697861.0
Công ty Cổ phần Sông Đà 7,Công ty Cổ phần Sông Đà 7,Công ty Cổ phần Sông Đà 7,56.152.431.196,58.673.637.744,56152431196.0,58673637744.0
Công ty Cổ phần SCI,Công ty Cổ phần SCI,Công ty Cổ phần SCI,10.452.369.667,24.469.990.962,10452369667.0,24469990962.0
Các nhà cung cấp khác,Các nhà cung cấp khác,Các nhà cung cấp khác,84.866.696.853,87.468.069.155,84866696853.0,87468069155.0
Cộng,Cộng,Cộng,182.623.868.672,202.960.295.386,182623868672.0,202960295386.0
