row_label_raw,row_label_full,col_0,Tại ngày 31/12/2018,Tại ngày 06/4/2018,numeric__Tại ngày 31/12/2018,numeric__Tại ngày 06/4/2018
Phải trả các bên liên quan,Phải trả các bên liên quan,Phải trả các bên liên quan,4.689.099.652,5.937.707.535,4689099652.0,5937707535.0
Công ty Cổ phần Sông Đà 11,Công ty Cổ phần Sông Đà 11,Công ty Cổ phần Sông Đà 11,125.496.113,125.496.113,125496113.0,125496113.0
Công ty TNHH Điện Xekaman 1,Công ty TNHH Điện Xekaman 1,Công ty TNHH Điện Xekaman 1,70.224.988,22.596.448,70224988.0,22596448.0
Công ty TNHH Điện Xekaman 3,Công ty TNHH Điện Xekaman 3,Công ty TNHH Điện Xekaman 3,4.437.443.551,4.414.098.271,4437443551.0,4414098271.0
Công ty TNHH Tư vấn Xây dựng Sông Đà Ucrin,Công ty TNHH Tư vấn Xây dựng Sông Đà Ucrin,Công ty TNHH Tư vấn Xây dựng Sông Đà Ucrin,51.435.000,51.435.000,51435000.0,51435000.0
Chi nhánh Sông Đà 11.2 Thăng Long –Công ty TNHH MTV Sông Đà,Chi nhánh Sông Đà 11.2 Thăng Long –Công ty TNHH MTV Sông Đà,Chi nhánh Sông Đà 11.2 Thăng Long –Công ty TNHH MTV Sông Đà,,1.319.581.703,,1319581703.0
Công ty Cổ phần Năng lượng Someco 1,Công ty Cổ phần Năng lượng Someco 1,Công ty Cổ phần Năng lượng Someco 1,4.500.000,4.500.000,4500000.0,4500000.0
Phải trả các đơn vị và cá nhân khác,Phải trả các đơn vị và cá nhân khác,Phải trả các đơn vị và cá nhân khác,2.187.754.444.001,1.520.652.202.494,2187754444001.0,1520652202494.0
Kinh phí công đoàn,Kinh phí công đoàn,Kinh phí công đoàn,20.043.260.712,18.957.755.173,20043260712.0,18957755173.0
Bảo hiểm xã hội,Bảo hiểm xã hội,Bảo hiểm xã hội,72.055.847.336,58.733.278.365,72055847336.0,58733278365.0
"Nhận ký quỹ, ký cược ngắn hạn","Nhận ký quỹ, ký cược ngắn hạn","Nhận ký quỹ, ký cược ngắn hạn",133.311.993.820,66.452.925.102,133311993820.0,66452925102.0
Lãi vay và các khoản phải trả Bộ Tài chính,Lãi vay và các khoản phải trả Bộ Tài chính,Lãi vay và các khoản phải trả Bộ Tài chính,370.755.500.517,129.906.240.098,370755500517.0,129906240098.0
Chi phí lãi vay khác,Chi phí lãi vay khác,Chi phí lãi vay khác,427.069.952.981,40.988.894.982,427069952981.0,40988894982.0
"Cổ tức, lợi nhuận phải trả","Cổ tức, lợi nhuận phải trả","Cổ tức, lợi nhuận phải trả",217.424.540.915,129.204.918.181,217424540915.0,129204918181.0
Các khoản chờ quyết toán cổ phần hóa,Các khoản chờ quyết toán cổ phần hóa,Các khoản chờ quyết toán cổ phần hóa,475.244.873.145,475.244.873.145,475244873145.0,475244873145.0
Khoản thu cước phí tạm xác định chờ xử lý theo quyết định của cơ quan có thẩm quyền,Khoản thu cước phí tạm xác định chờ xử lý theo quyết định của cơ quan có thẩm quyền,Khoản thu cước phí tạm xác định chờ xử lý theo quyết định của cơ quan có thẩm quyền,74.724.568.335,76.138.419.953,74724568335.0,76138419953.0
"Chi phí trung, đại tu chờ quyết toán","Chi phí trung, đại tu chờ quyết toán","Chi phí trung, đại tu chờ quyết toán",56.070.347.372,,56070347372.0,
Tiền đặt cọc mua Cổ phần,Tiền đặt cọc mua Cổ phần,Tiền đặt cọc mua Cổ phần,61.000.000.000,61.000.000.000,61000000000.0,61000000000.0
Các khoản phải trả ngắn hạn khác,Các khoản phải trả ngắn hạn khác,Các khoản phải trả ngắn hạn khác,280.053.558.868,464.024.897.495,280053558868.0,464024897495.0
Cộng,Cộng,Cộng,2.192.443.543.653,1.526.589.910.029,2192443543653.0,1526589910029.0
