row_label_raw,row_label_full,col_0,Từ ngày 06/4/2018đến 31/12/2018,Năm 2017,numeric__Từ ngày 06/4/2018đến 31/12/2018,numeric__Năm 2017
Lãi thanh lý TSCĐ,Lãi thanh lý TSCĐ,Lãi thanh lý TSCĐ,5.340.676.165,34.150.557.204,5340676165.0,34150557204.0
Thu từ thanh lý Công cụ dụng cụ,Thu từ thanh lý Công cụ dụng cụ,Thu từ thanh lý Công cụ dụng cụ,4.137.712.897,5.721.208.492,4137712897.0,5721208492.0
Thu tiền bồi thường,Thu tiền bồi thường,Thu tiền bồi thường,5.983.068.078,4.426.546.206,5983068078.0,4426546206.0
Công nợ không phải trả,Công nợ không phải trả,Công nợ không phải trả,,1.405.195.685,,1405195685.0
Hoàn nhập trích trước chi phí công trình,Hoàn nhập trích trước chi phí công trình,Hoàn nhập trích trước chi phí công trình,13.559.847.672,5.281.141.691,13559847672.0,5281141691.0
Thu về chuyển nhượng chứng chỉ phát thải,Thu về chuyển nhượng chứng chỉ phát thải,Thu về chuyển nhượng chứng chỉ phát thải,5.608.186.865,4.304.047.692,5608186865.0,4304047692.0
Phí y tế và bảo vệ công trình,Phí y tế và bảo vệ công trình,Phí y tế và bảo vệ công trình,1.671.281.186,1.384.047.967,1671281186.0,1384047967.0
Thu nhập từ nông trường Trà Đa,Thu nhập từ nông trường Trà Đa,Thu nhập từ nông trường Trà Đa,5.877.465.635,,5877465635.0,
Thu nhập khác,Thu nhập khác,Thu nhập khác,3.621.564.751,13.247.679.610,3621564751.0,13247679610.0
Cộng,Cộng,Cộng,45.799.803.249,69.920.424.547,45799803249.0,69920424547.0
