row_label_raw,row_label_full,col_0,Tại ngày 31/12/2018,Tại ngày 31/12/2018_1,Tại ngày 06/4/2018,Tại ngày 06/4/2018_1,numeric__Tại ngày 31/12/2018,numeric__Tại ngày 31/12/2018_1,numeric__Tại ngày 06/4/2018,numeric__Tại ngày 06/4/2018_1
,,,Giá gốc,Dự phòng,Giá gốc,Dự phòng,,,,
Công ty Cổ phần Giấy Sài Gòn (*),Công ty Cổ phần Giấy Sài Gòn (*),Công ty Cổ phần Giấy Sài Gòn (*),1.600.500.000,,1.600.500.000,,1600500000.0,,1600500000.0,
Công ty Cổ phần Bưu chính Viễn thông Sài Gòn(*),Công ty Cổ phần Bưu chính Viễn thông Sài Gòn(*),Công ty Cổ phần Bưu chính Viễn thông Sài Gòn(*),1.577.041.250,,1.577.041.250,,1577041250.0,,1577041250.0,
Công ty Cổ phần Tập đoàn Thủy sản Minh Phú(*),Công ty Cổ phần Tập đoàn Thủy sản Minh Phú(*),Công ty Cổ phần Tập đoàn Thủy sản Minh Phú(*),18.204.120.000,,18.204.120.000,,18204120000.0,,18204120000.0,
Công ty Cổ phần Công nghiệp Thương mại Sông Đà,Công ty Cổ phần Công nghiệp Thương mại Sông Đà,Công ty Cổ phần Công nghiệp Thương mại Sông Đà,300.000,(136.200),300.000,(136.200),300000.0,-136200.0,300000.0,-136200.0
Công ty Cổ phần Xi măng Sông Đà,Công ty Cổ phần Xi măng Sông Đà,Công ty Cổ phần Xi măng Sông Đà,400.000,,400.000,,400000.0,,400000.0,
Công ty Cổ phần Xây lắp và Đầu tư Sông Đà,Công ty Cổ phần Xây lắp và Đầu tư Sông Đà,Công ty Cổ phần Xây lắp và Đầu tư Sông Đà,815.000.000,,815.000.000,,815000000.0,,815000000.0,
Công ty Cổ phần Thương mại và Dầu khí Sông Đà,Công ty Cổ phần Thương mại và Dầu khí Sông Đà,Công ty Cổ phần Thương mại và Dầu khí Sông Đà,1.323.404.364,(935.324.664),1.323.404.364,(935.324.664),1323404364.0,-935324664.0,1323404364.0,-935324664.0
Công ty Cổ phần Đầu tư Tổng hợp Sông Đà,Công ty Cổ phần Đầu tư Tổng hợp Sông Đà,Công ty Cổ phần Đầu tư Tổng hợp Sông Đà,1.974.000,,1.974.000,,1974000.0,,1974000.0,
Công ty Cổ phần Sông Đà Cao Cường,Công ty Cổ phần Sông Đà Cao Cường,Công ty Cổ phần Sông Đà Cao Cường,3.000.000.000,(1.675.050.000),3.000.000.000,(1.675.050.000),3000000000.0,-1675050000.0,3000000000.0,-1675050000.0
Cộng,Cộng,Cộng,26.522.739.614,(2.610.510.864),26.522.739.614,(2.610.510.864),26522739614.0,-2610510864.0,26522739614.0,-2610510864.0
