row_label_raw,row_label_full,Các Công ty con do Công ty mẹ đầu tư gián tiếp,Các Công ty con do Công ty mẹ đầu tư gián tiếp_1,Hoạt động kinh doanh chính,Tỷ lệ lợi ích,Tỷ lệ lợi ích_1,Tỷ lệ quyền biểu quyết,Tỷ lệ quyền biểu quyết_1,numeric__Các Công ty con do Công ty mẹ đầu tư gián tiếp_1,numeric__Hoạt động kinh doanh chính,numeric__Tỷ lệ lợi ích,numeric__Tỷ lệ lợi ích_1,numeric__Tỷ lệ quyền biểu quyết,numeric__Tỷ lệ quyền biểu quyết_1
Tên công ty,Tên công ty,Tên công ty,Địa chỉ trụ sở chính,Hoạt động kinh doanh chính,Số cuối năm,Số đầu năm,Số cuối năm,Số đầu năm,,,,,,
1. Công ty TNHH MTV Công trình Giao thông Sông Đà,Tên công ty > 1. Công ty TNHH MTV Công trình Giao thông Sông Đà,1. Công ty TNHH MTV Công trình Giao thông Sông Đà,"Km 10, đường Nguyễn Trãi, phường Văn Quán, quận Hà Đông, thành phố Hà Nội",Xây lắp,"40,77%","40,77%","100,00%","100,00%",,,0.4077,0.4077,1.0,1.0
2. Công ty Cổ phần Thủy điện Sông Đà 3 - Đaklô,Tên công ty > 2. Công ty Cổ phần Thủy điện Sông Đà 3 - Đaklô,2. Công ty Cổ phần Thủy điện Sông Đà 3 - Đaklô,"Thôn Măng đen, xã Đắk Long, huyện Kon PLông, tỉnh Kon Tum",Kinh doanh thủy điện,"50,48%","50,48%","98,97%","98,97%",,,0.5047999999999999,0.5047999999999999,0.9897,0.9897
3. Công ty Cổ phần Thủy điện Nậm Mu,Tên công ty > 3. Công ty Cổ phần Thủy điện Nậm Mu,3. Công ty Cổ phần Thủy điện Nậm Mu,"Xã Tân Thành, huyện Bắc Giang, tỉnh Hà Giang",Kinh doanh thủy điện,"29,83%","29,83%","51,00%","51,00%",,,0.2983,0.2983,0.51,0.51
4. Công ty Cổ phần Sông Đà Tây Đô,Tên công ty > 4. Công ty Cổ phần Sông Đà Tây Đô,4. Công ty Cổ phần Sông Đà Tây Đô,"Tầng 8, tòa nhà Sông Đà 9, đường Phạm Hùng, phường Mỹ Đình 2, quận Naïm Từ Liêm, thành phố Hà Nội",Xây lắp,"22,65%","22,65%","75,90%","75,90%",,,0.22649999999999998,0.22649999999999998,0.759,0.759
5. Công ty TNHH MTV Sông Đà 10.1,Tên công ty > 5. Công ty TNHH MTV Sông Đà 10.1,5. Công ty TNHH MTV Sông Đà 10.1,"Xã Ia monông, huyện Churpãh, tỉnh Gia Lai",Xây lắp,"62,27%","62,27%","100,00%","100,00%",,,0.6227,0.6227,1.0,1.0
6. Công ty Cổ phần Thủy điện Nậm He,Tên công ty > 6. Công ty Cổ phần Thủy điện Nậm He,6. Công ty Cổ phần Thủy điện Nậm He,"Bản Mường Tùng, xã Mường Tùng, huyện Mường Chà, tỉnh Điện Biên",Kinh doanh thủy điện,"34,92%","34,92%","56,09%","56,09%",,,0.3492,0.3492,0.5609000000000001,0.5609000000000001
7. Công ty Cổ phần Thủy điện Sông Đà Tây Nguyên,Tên công ty > 7. Công ty Cổ phần Thủy điện Sông Đà Tây Nguyên,7. Công ty Cổ phần Thủy điện Sông Đà Tây Nguyên,"Làng Kon Sơ Lăng, xã Hà Tây, huyện Chư Pãh, tỉnh Gia Lai",Kinh doanh thủy điện,"41,41%","41,41%","81,25%","81,25%",,,0.41409999999999997,0.41409999999999997,0.8125,0.8125
8. Công ty Cổ phần Phát triển Đô thị và Nông thôn Sông Đà,Tên công ty > 8. Công ty Cổ phần Phát triển Đô thị và Nông thôn Sông Đà,8. Công ty Cổ phần Phát triển Đô thị và Nông thôn Sông Đà,"Thôn Lai Xá, xã Thanh Thùy, huyện Thanh Hà, tỉnh Hải Dương",Xây lắp,"37,48%","37,48%","73,48%","73,48%",,,0.37479999999999997,0.37479999999999997,0.7348,0.7348
9. Công ty Cổ phần Someco Hà Giang,Tên công ty > 9. Công ty Cổ phần Someco Hà Giang,9. Công ty Cổ phần Someco Hà Giang,"Thôn Nậm Choong, xã Quảng Nguyên, huyện Xí Mân, tỉnh Hà Giang",Kinh doanh thủy điện,"42,71%","41,88%","92,55%","90,74%",,,0.42710000000000004,0.4188,0.9255,0.9074
10. Công ty TNHH MTV Tư vấn Thiết kế Someco,Tên công ty > 10. Công ty TNHH MTV Tư vấn Thiết kế Someco,10. Công ty TNHH MTV Tư vấn Thiết kế Someco,"Phòng 1004, tầng 10, CT4, khu đô thị mới Mỹ Đình, huyện Từ Liêm, thành phố Hà Nội",Dịch vụ tư vấn,"46,15%","46,15%","100,00%","100,00%",,,0.46149999999999997,0.46149999999999997,1.0,1.0
11. Công ty TNHH MTV Kỹ thuật Công nghệ Someco,Tên công ty > 11. Công ty TNHH MTV Kỹ thuật Công nghệ Someco,11. Công ty TNHH MTV Kỹ thuật Công nghệ Someco,"C40, TT6 Khu đô thị Văn Quản - Yên Phúc, phường Phúc La, quận Hà Đông, thành phố Hà Nội",Xây lắp,"46,15%","46,15%","100,00%","100,00%",,,0.46149999999999997,0.46149999999999997,1.0,1.0
