row_label_raw,row_label_full,Tên công ty,Địa chỉ trụ sở chính,Hoạt động kinh doanh chính,Tỷ lệ lợi richness,Tỷ lệ lợi richness_1,Bleda quayon,Bleda quayon_1,numeric__Địa chỉ trụ sở chính,numeric__Hoạt động kinh doanh chính,numeric__Tỷ lệ lợi richness,numeric__Tỷ lệ lợi richness_1,numeric__Bleda quayon,numeric__Bleda quayon_1
Tên công ty,Tên công ty,Tên công ty,Địa chỉ trụ sở chính,Hoạt động kinh doanh chính,Số cuối năm,Số đầu năm,Số cuối năm,Số đầu năm,,,,,,
1. Công ty Cổ phần Sông Đà 2 (*),Tên công ty > 1. Công ty Cổ phần Sông Đà 2 (*),1. Công ty Cổ phần Sông Đà 2 (*),"Km 10, đường Nguyễn Trãi, phường Văn Quán, quận Hà Đông, thành phố Hà Nội",Xây lắp,"40,77%","40,77%","40,77%","40,77%",,,0.4077,0.4077,0.4077,0.4077
2. Công ty Cổ phần Sông Đà 3,Tên công ty > 2. Công ty Cổ phần Sông Đà 3,2. Công ty Cổ phần Sông Đà 3,"Số 105 Phạm Văn Đồng, thành phố Pleiku, tỉnh Gia lai",Xây lắp,"51,00%","51,00%","51,00%","51,00%",,,0.51,0.51,0.51,0.51
3. Công ty Cổ phần Sông Đà 4,Tên công ty > 3. Công ty Cổ phần Sông Đà 4,3. Công ty Cổ phần Sông Đà 4,"Tầng 3, nhà TM, khu đô thị Văn Khê, phường La Khê, quận Hà Đông, thành phố Hà Nội",Xây lắp,"65,00%","65,00%","65,00%","65,00%",,,0.65,0.65,0.65,0.65
