row_label_raw,row_label_full,col_0,Sản xuất công nghiệp,Xây lắp,Lĩnh vực khác,Cộng,numeric__Sản xuất công nghiệp,numeric__Xây lắp,numeric__Lĩnh vực khác,numeric__Cộng
Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,,333.503.590.588,,,,333503590588.0
Tổng chi phí đã phát sinh đề mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh đề mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh đề mua tài sản cố định và các tài sản dài hạn khác,14.005.117.729,65.775.558.564,1.172.176.363,80.952.852.656,14005117729.0,65775558564.0,1172176363.0,80952852656.0
Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,387.070.948.728,211.965.918.200,132.774.461.748,731.811.328.676,387070948728.0,211965918200.0,132774461748.0,731811328676.0
Tài sản và nợ phải trả của bộ phận theo lĩnh vực kinh doanh của Tập đoàn như sau:Sản xuất công nghiệp,Tài sản và nợ phải trả của bộ phận theo lĩnh vực kinh doanh của Tập đoàn như sau:Sản xuất công nghiệp,Tài sản và nợ phải trả của bộ phận theo lĩnh vực kinh doanh của Tập đoàn như sau:Sản xuất công nghiệp,Xây lắp,Lĩnh vực khác,Cộng,,,,,
Số cuối năm,Số cuối năm,Số cuối năm,,,,,,,,
Tài sản trực tiếp của bộ phận,Số cuối năm > Tài sản trực tiếp của bộ phận,Tài sản trực tiếp của bộ phận,8.934.380.739.654,15.122.936.986.919,1.123.722.787.195,25.181.040.513.768,8934380739654.0,15122936986919.0,1123722787195.0,25181040513768.0
Tài sản phân bổ cho bộ phận,Tài sản phân bổ cho bộ phận,Tài sản phân bổ cho bộ phận,,,,,,,,
Các tài sản không phân bổ theo bộ phận,Tài sản phân bổ cho bộ phận > Các tài sản không phân bổ theo bộ phận,Các tài sản không phân bổ theo bộ phận,,,,3.506.727.626.658,,,,3506727626658.0
Tổng tài sản,Tài sản phân bổ cho bộ phận > Tổng tài sản,Tổng tài sản,,,,28.687.768.140.426,,,,28687768140426.0
Nợ phải trả trực tiếp của bộ phận,Tài sản phân bổ cho bộ phận > Nợ phải trả trực tiếp của bộ phận,Nợ phải trả trực tiếp của bộ phận,5.696.727.346.167,15.172.597.539.576,281.332.110.174,21.150.656.995.917,5696727346167.0,15172597539576.0,281332110174.0,21150656995917.0
Nợ phải trả phân bổ cho bộ phận,Nợ phải trả phân bổ cho bộ phận,Nợ phải trả phân bổ cho bộ phận,,,,,,,,
Nợ phải trả không phân bổ theo bộ phận,Nợ phải trả không phân bổ theo bộ phận,Nợ phải trả không phân bổ theo bộ phận,,,,,,,,
Tổng nợ phải trả,Nợ phải trả không phân bổ theo bộ phận > Tổng nợ phải trả,Tổng nợ phải trả,,,,21.150.656.995.917,,,,21150656995917.0
Số đầu năm,Số đầu năm,Số đầu năm,,,,,,,,
Tài sản trực tiếp của bộ phận,Số đầu năm > Tài sản trực tiếp của bộ phận,Tài sản trực tiếp của bộ phận,9.385.710.344.058,15.939.372.212.663,1.402.358.671.774,26.727.441.228.495,9385710344058.0,15939372212663.0,1402358671774.0,26727441228495.0
Tài sản phân bổ cho bộ phận,Tài sản phân bổ cho bộ phận,Tài sản phân bổ cho bộ phận,,,,,,,,
Các tài sản không phân bổ theo bộ phận,Tài sản phân bổ cho bộ phận > Các tài sản không phân bổ theo bộ phận,Các tài sản không phân bổ theo bộ phận,,,,3.709.019.823.637,,,,3709019823637.0
Tổng tài sản,Tài sản phân bổ cho bộ phận > Tổng tài sản,Tổng tài sản,,,,30.436.461.052.132,,,,30436461052132.0
Nợ phải trả trực tiếp của bộ phận,Tài sản phân bổ cho bộ phận > Nợ phải trả trực tiếp của bộ phận,Nợ phải trả trực tiếp của bộ phận,6.094.517.752.156,16.000.879.044.350,558.742.659.981,22.654.139.456.487,6094517752156.0,16000879044350.0,558742659981.0,22654139456487.0
Nợ phải trả phân bổ cho bộ phận,Nợ phải trả phân bổ cho bộ phận,Nợ phải trả phân bổ cho bộ phận,,,,,,,,
Nợ phải trả không phân bổ theo bộ phận,Nợ phải trả không phân bổ theo bộ phận,Nợ phải trả không phân bổ theo bộ phận,,,,,,,,
Tổng nợ phải trả,Nợ phải trả không phân bổ theo bộ phận > Tổng nợ phải trả,Tổng nợ phải trả,,,,22.654.139.456.487,,,,22654139456487.0
