row_label_raw,row_label_full,col_0,Tại ngày06/4/2018,Tăng trong năm,Giảm trong năm,Tại ngày31/12/2018,numeric__Tại ngày06/4/2018,numeric__Tăng trong năm,numeric__Giảm trong năm,numeric__Tại ngày31/12/2018
Vốn góp của chủ sở hữu,Vốn góp của chủ sở hữu,Vốn góp của chủ sở hữu,4.495.371.120.000,,,4.495.371.120.000,4495371120000.0,,,4495371120000.0
Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,87.348.327.332,34.219.113.050,,121.567.440.382,87348327332.0,34219113050.0,,121567440382.0
Vốn khác của chủ sở hữu,Vốn khác của chủ sở hữu,Vốn khác của chủ sở hữu,19.953.408.828,1.045.539.297,,20.998.948.125,19953408828.0,1045539297.0,,20998948125.0
Chênh lệch đánh giá lại tài sản,Chênh lệch đánh giá lại tài sản,Chênh lệch đánh giá lại tài sản,(1.629.294.875.287),,,(1.629.294.875.287),-1629294875287.0,,,-1629294875287.0
Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,294.376.962.459,,,242.940.292.010,294376962459.0,,,242940292010.0
Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,486.391.358.613,263.244.701.517,,749.636.060.130,486391358613.0,263244701517.0,,749636060130.0
Quỹ khác thuộc vốn chủ sở hữu,Quỹ khác thuộc vốn chủ sở hữu,Quỹ khác thuộc vốn chủ sở hữu,3.797.338.433,3.000.777.311,,6.798.115.744,3797338433.0,3000777311.0,,6798115744.0
Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,1.044.056.396.987,,127.075.044.101,916.981.352.886,1044056396987.0,,127075044101.0,916981352886.0
Nguồn vốn đầu tư xây dựng cơ bản,Nguồn vốn đầu tư xây dựng cơ bản,Nguồn vốn đầu tư xây dựng cơ bản,8.499.721,1.249.985,,9.749.706,8499721.0,1249985.0,,9749706.0
Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,2.980.278.462.962,,368.210.117.746,2.612.068.345.216,2980278462962.0,,368210117746.0,2612068345216.0
Cộng,Cộng,Cộng,7.782.287.000.048,301.511.381.160,495.285.161.847,7.537.076.548.912,7782287000048.0,301511381160.0,495285161847.0,7537076548912.0
