row_label_raw,row_label_full,col_0,Tại ngày 06/4/2018,Tại ngày 06/4/2018_1,Số phát sinh trong năm,Số phát sinh trong năm_1,Số phát sinh trong năm_2,Tại ngày 31/12/2018,Tại ngày 31/12/2018_1,numeric__Tại ngày 06/4/2018,numeric__Tại ngày 06/4/2018_1,numeric__Số phát sinh trong năm,numeric__Số phát sinh trong năm_1,numeric__Số phát sinh trong năm_2,numeric__Tại ngày 31/12/2018,numeric__Tại ngày 31/12/2018_1
,,,Phải nộp,Phải thu,Phải nộp,Đã nộp,Giảm khác,Phải nộp,Phải thu,,,,,,,
Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,337.129.394.454,7.408.733.781,561.976.079.979,(607.842.829.321),(920.916.101),290.178.963.228,7.245.967.998,337129394454.0,7408733781.0,561976079979.0,-607842829321.0,-920916101.0,290178963228.0,7245967998.0
Thuế GTGT hàng bán nội địa,Thuế GTGT hàng bán nội địa,Thuế GTGT hàng bán nội địa,143.019.665.001,626.089.623,257.988.041.085,(268.155.316.728),(920.916.101),132.372.489.083,1.067.105.449,143019665001.0,626089623.0,257988041085.0,-268155316728.0,-920916101.0,132372489083.0,1067105449.0
Thuế GTGT hàng bán nội địa,Thuế GTGT hàng bán nội địa,Thuế GTGT hàng bán nội địa,,,5.096.424.017,(5.096.424.017),,,,,,5096424017.0,-5096424017.0,,,
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,71.969.966.958,5.444.158.972,58.201.657.495,(69.230.439.731),,60.011.016.271,4.513.990.521,71969966958.0,5444158972.0,58201657495.0,-69230439731.0,,60011016271.0,4513990521.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,11.154.214.355,1.286.061.883,11.662.672.705,(9.318.423.468),,13.405.903.343,1.193.501.634,11154214355.0,1286061883.0,11662672705.0,-9318423468.0,,13405903343.0,1193501634.0
Thuế nhà thầu nước ngoài,Thuế nhà thầu nước ngoài,Thuế nhà thầu nước ngoài,44.271.463,,224.179.384,(268.450.847),,,,44271463.0,,224179384.0,-268450847.0,,,
Thuế tài nguyên,Thuế tài nguyên,Thuế tài nguyên,26.758.948.456,,165.651.962.052,(175.656.455.915),,17.183.326.907,428.872.314,26758948456.0,,165651962052.0,-175656455915.0,,17183326907.0,428872314.0
Thuế bảo vệ môi trường,Thuế bảo vệ môi trường,Thuế bảo vệ môi trường,2.679.632.940,,17.046.921.779,(15.331.290.671),,4.395.264.048,,2679632940.0,,17046921779.0,-15331290671.0,,4395264048.0,
"Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất",8.307.007.416,37.701.212,6.893.414.034,(7.713.398.252),,7.477.597.975,28.275.989,8307007416.0,37701212.0,6893414034.0,-7713398252.0,,7477597975.0,28275989.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,3.777.191.973,368.400,18.030.576.169,(18.195.865.616),,3.611.902.526,368.400,3777191973.0,368400.0,18030576169.0,-18195865616.0,,3611902526.0,368400.0
"Phí, lệ phí và các khoản phải nộp khác","Phí, lệ phí và các khoản phải nộp khác","Phí, lệ phí và các khoản phải nộp khác",69.418.495.892,14.353.691,21.180.231.259,(38.876.764.076),,51.721.463.075,13.853.691,69418495892.0,14353691.0,21180231259.0,-38876764076.0,,51721463075.0,13853691.0
Lợi nhuận nộp Ngân sách,Lợi nhuận nộp Ngân sách,Lợi nhuận nộp Ngân sách,139.065.281.085,,,(42.299.028.734),,96.766.252.351,,139065281085.0,,,-42299028734.0,,96766252351.0,
Cộng,Cộng,Cộng,476.194.675.539,7.408.733.781,561.976.079.979,(650.141.858.055),(920.916.101),386.945.215.579,7.245.967.998,476194675539.0,7408733781.0,561976079979.0,-650141858055.0,-920916101.0,386945215579.0,7245967998.0
