row_label_raw,row_label_full,col_0,"Nợ phải thu, cho vay ngắn hạn","Nợ phải thu, cho vay dài hạn",Cộng,"numeric__Nợ phải thu, cho vay ngắn hạn","numeric__Nợ phải thu, cho vay dài hạn",numeric__Cộng
Số đầu năm,Số đầu năm,Số đầu năm,291.651.727.006,,291.651.727.006,291651727006.0,,291651727006.0
Trích lập dự phòng bổ sung,Trích lập dự phòng bổ sung,Trích lập dự phòng bổ sung,78.222.291.072,10.014.756.325,88.237.047.397,78222291072.0,10014756325.0,88237047397.0
Hoàn nhập dự phòng,Hoàn nhập dự phòng,Hoàn nhập dự phòng,(12.777.598.782),,(12.777.598.782),-12777598782.0,,-12777598782.0
Sử dụng dự phòng,Sử dụng dự phòng,Sử dụng dự phòng,(667.903.393),,(667.903.393),-667903393.0,,-667903393.0
Số cuối năm,Số cuối năm,Số cuối năm,356.428.515.903,10.014.756.325,366.443.272.228,356428515903.0,10014756325.0,366443272228.0
