row_label_raw,row_label_full,col_0,TÀI SẢN,Mã số Thuyết minh,Mã số Thuyết minh_1,Số cuối năm,Đơn vị: VND Số đầu năm,numeric__TÀI SẢN,numeric__Mã số Thuyết minh,numeric__Mã số Thuyết minh_1,numeric__Số cuối năm,numeric__Đơn vị: VND Số đầu năm
A.,A.,A.,TÀI SẢN NGĂN HẠN,100,,18.406.087.226.041,16.059.937.820.645,,100.0,,18406087226041.0,16059937820645.0
I.,I.,I.,Tiền và các khoản tương đương tiền,110,5,3.925.727.206.293,3.480.659.514.788,,110.0,5.0,3925727206293.0,3480659514788.0
1.,1.,1.,Tiền,111,,2.682.437.141.849,1.886.435.218.720,,111.0,,2682437141849.0,1886435218720.0
2.,2.,2.,Các khoản tương đương tiền,112,,1.243.290.064.444,1.594.224.296.068,,112.0,,1243290064444.0,1594224296068.0
II.,II.,II.,Đầu tư tài chính ngắn hạn,120,6,5.568.623.727.137,4.379.446.212.073,,120.0,6.0,5568623727137.0,4379446212073.0
1.,1.,1.,Đầu tư nằm giữ đến ngày đáo hạn,123,,5.568.623.727.137,4.379.446.212.073,,123.0,,5568623727137.0,4379446212073.0
III.,III.,III.,Các khoản phải thu ngắn hạn,130,,6.426.946.279.074,6.151.782.399.408,,130.0,,6426946279074.0,6151782399408.0
1.,1.,1.,Phải thu ngắn hạn của khách hàng,131,,5.561.545.801.834,5.038.378.935.917,,131.0,,5561545801834.0,5038378935917.0
2.,2.,2.,Trả trước cho người bán ngắn hạn,132,,218.427.501.076,95.340.696.039,,132.0,,218427501076.0,95340696039.0
3.,3.,3.,Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,134,7,251.954.356.007,431.581.193.340,,134.0,7.0,251954356007.0,431581193340.0
4.,4.,4.,Phải thu về cho vay ngắn hạn,135,,910.049.188,-,,135.0,,910049188.0,
5.,5.,5.,Phải thu ngắn hạn khác,136,8,658.775.479.875,767.000.371.499,,136.0,8.0,658775479875.0,767000371499.0
6.,6.,6.,Dự phòng phải thu ngắn hạn khó đòi,137,,(264.666.908.906),(180.518.797.387),,137.0,,-264666908906.0,-180518797387.0
IV.,IV.,IV.,Hàng tồn kho,140,10,1.340.687.216.347,1.020.212.423.590,,140.0,10.0,1340687216347.0,1020212423590.0
1.,1.,1.,Hàng tồn kho,141,,1.401.302.666.378,1.024.043.952.523,,141.0,,1401302666378.0,1024043952523.0
2.,2.,2.,Dự phòng giảm giá hàng tồn kho,149,,(60.615.450.031),(3.831.528.933),,149.0,,-60615450031.0,-3831528933.0
V.,V.,V.,Tài sản ngắn hạn khác,150,,1.144.102.797.190,1.027.837.270.786,,150.0,,1144102797190.0,1027837270786.0
1.,1.,1.,Chi phí trả trước ngắn hạn,151,11,962.477.975.930,759.948.049.853,,151.0,11.0,962477975930.0,759948049853.0
2.,2.,2.,Thuế giá trị gia tăng được khấu trừ,152,,138.812.602.015,156.145.888.056,,152.0,,138812602015.0,156145888056.0
3.,3.,3.,Thuế và các khoản khác phải thu Nhà nước,153,12,42.812.219.245,111.743.332.877,,153.0,12.0,42812219245.0,111743332877.0
B.,B.,B.,TÀI SẢN DÀI HẠN,200,,11.350.979.923.527,8.939.739.075.221,,200.0,,11350979923527.0,8939739075221.0
I.,I.,I.,Các khoản phải thu dài hạn,210,,109.788.240.927,231.657.122.488,,210.0,,109788240927.0,231657122488.0
1.,1.,1.,Phải thu dài hạn của khách hàng,211,,-,161.551.680.000,,211.0,,,161551680000.0
