row_label_raw,row_label_full,col_0,Dự phòng bảo hành sản phẩm ngắn hạn VND,Dự phòng ngắn hạn khác VND,Tổng VND,numeric__Dự phòng bảo hành sản phẩm ngắn hạn VND,numeric__Dự phòng ngắn hạn khác VND,numeric__Tổng VND
Số dưđâu năm,Số dưđâu năm,Số dưđâu năm,6.051.424.047,-,6.051.424.047,6051424047.0,,6051424047.0
Trích lập dự phòng bổ sung trong năm,Trích lập dự phòng bổ sung trong năm,Trích lập dự phòng bổ sung trong năm,16.929.137.777,14.217.000.000,31.146.137.777,16929137777.0,14217000000.0,31146137777.0
Các khoản dự phòng đã sử dụng/hoản nhập,Các khoản dự phòng đã sử dụng/hoản nhập,Các khoản dự phòng đã sử dụng/hoản nhập,(5.843.446.278),-,(5.843.446.278),-5843446278.0,,-5843446278.0
Số dưcuôi năm,Số dưcuôi năm,Số dưcuôi năm,17.137.115.546,14.217.000.000,31.354.115.546,17137115546.0,14217000000.0,31354115546.0
