row_label_raw,row_label_full,col_0,col_1,Số cuối năm,Số cuối năm_1,Số cuối năm_2,Số đầu năm,Số đầu năm_1,Số đầu năm_2,numeric__col_1,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số cuối năm_2,numeric__Số đầu năm,numeric__Số đầu năm_1,numeric__Số đầu năm_2
,,,,VND,VND,VND,VND,VND,VND,,,,,,,
,,,,Giá gốc,Dự phòng,Giá trị hợp lý,Giá gốc,Dự phòng,Giá trị hợp lý,,,,,,,
b. Đầu tư góp vốn vào đơn vị khác,b. Đầu tư góp vốn vào đơn vị khác,b. Đầu tư góp vốn vào đơn vị khác,b. Đầu tư góp vốn vào đơn vị khác,b. Đầu tư góp vốn vào đơn vị khác,b. Đầu tư góp vốn vào đơn vị khác,b. Đầu tư góp vốn vào đơn vị khác,b. Đầu tư góp vốn vào đơn vị khác,b. Đầu tư góp vốn vào đơn vị khác,b. Đầu tư góp vốn vào đơn vị khác,,,,,,,
b1) Đầu tư vào công ty liên kết;,b. Đầu tư góp vốn vào đơn vị khác > b1) Đầu tư vào công ty liên kết;,b1) Đầu tư vào công ty liên kết;,b1) Đầu tư vào công ty liên kết;,630.000.000.000,-,3.512.883.994.005,630.000.000.000,-,,,630000000000.0,,3512883994005.0,630000000000.0,,
- Công ty Cổ phần Synnex FPT (*),b. Đầu tư góp vốn vào đơn vị khác > - Công ty Cổ phần Synnex FPT (*),- Công ty Cổ phần Synnex FPT (*),- Công ty Cổ phần Synnex FPT (*),398.500.000.000,-,786.922.199.961,398.500.000.000,-,(***),,398500000000.0,,786922199961.0,398500000000.0,,
- Công ty Cổ phần Chứng khoán (**) FPT,b. Đầu tư góp vốn vào đơn vị khác > - Công ty Cổ phần Chứng khoán (**) FPT,- Công ty Cổ phần Chứng khoán (**) FPT,- Công ty Cổ phần Chứng khoán (**) FPT,110.000.000.000,-,386.990.853.000,110.000.000.000,-,246.465.673.600,,110000000000.0,,386990853000.0,110000000000.0,,246465673600.0
- Công ty Cổ phần Bán lẻ Kỹ thuật (**) số FPT,b. Đầu tư góp vốn vào đơn vị khác > - Công ty Cổ phần Bán lẻ Kỹ thuật (**) số FPT,- Công ty Cổ phần Bán lẻ Kỹ thuật (**) số FPT,- Công ty Cổ phần Bán lẻ Kỹ thuật (**) số FPT,94.000.000.000,-,2.297.924.000.000,94.000.000.000,-,(***),,94000000000.0,,2297924000000.0,94000000000.0,,
- Công ty Cổ phần Quản lý Quỹ (**) Dầu tư FPT,b. Đầu tư góp vốn vào đơn vị khác > - Công ty Cổ phần Quản lý Quỹ (**) Dầu tư FPT,- Công ty Cổ phần Quản lý Quỹ (**) Dầu tư FPT,- Công ty Cổ phần Quản lý Quỹ (**) Dầu tư FPT,27.500.000.000,-,41.046.941.044,27.500.000.000,-,(***),,27500000000.0,,41046941044.0,27500000000.0,,
b2) Đầu tư dài hạn vào đơn vị khác,b. Đầu tư góp vốn vào đơn vị khác > b2) Đầu tư dài hạn vào đơn vị khác,b2) Đầu tư dài hạn vào đơn vị khác,b2) Đầu tư dài hạn vào đơn vị khác,793.360.844.792,(267.125.884.589),1.493.917.131.037,749.259.852.282,(299.595.283.237),(***),,793360844792.0,-267125884589.0,1493917131037.0,749259852282.0,-299595283237.0,
- Quỹ đầu tư Việt Nam BVIM,b. Đầu tư góp vốn vào đơn vị khác > - Quỹ đầu tư Việt Nam BVIM,- Quỹ đầu tư Việt Nam BVIM,- Quỹ đầu tư Việt Nam BVIM,-,-,-,2.100.000.000,-,(***),,,,,2100000000.0,,
- Các khoản đầu tư khác (*),b. Đầu tư góp vốn vào đơn vị khác > - Các khoản đầu tư khác (*),- Các khoản đầu tư khác (*),- Các khoản đầu tư khác (*),793.360.844.792,(267.125.884.589),1.493.917.131.037,747.159.852.282,(299.595.283.237),(***),,793360844792.0,-267125884589.0,1493917131037.0,747159852282.0,-299595283237.0,
