row_label_raw,row_label_full,col_0,CHỈ TIÊU,Mã số Thuyết minh,Mã số Thuyết minh_1,Năm nay,Năm trước,numeric__CHỈ TIÊU,numeric__Mã số Thuyết minh,numeric__Mã số Thuyết minh_1,numeric__Năm nay,numeric__Năm trước
1.,1.,1.,Doanh thu bán hàng và cung cấp dịch vụ,01,27,23.259.126.277.266,43.298.396.301.993,,1.0,27.0,23259126277266.0,43298396301993.0
2.,2.,2.,Các khoản giảm trừ doanh thu,02,27,45.589.419.541,639.785.460.639,,2.0,27.0,45589419541.0,639785460639.0
3.,3.,3.,Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),10,27,23.213.536.857.725,42.658.610.841.354,,10.0,27.0,23213536857725.0,42658610841354.0
4.,4.,4.,Giá vốn hàng bán,11,28,14.490.657.872.236,32.976.206.156.753,,11.0,28.0,14490657872236.0,32976206156753.0
5.,5.,5.,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),20,,8.722.878.985.489,9.682.404.684.601,,20.0,,8722878985489.0,9682404684601.0
6.,6.,6.,Doanh thu hoạt động tài chính,21,30,600.093.309.692,1.583.099.974.667,,21.0,30.0,600093309692.0,1583099974667.0
7.,7.,7.,Chi phí tài chính,22,31,361.046.565.710,600.871.831.217,,22.0,31.0,361046565710.0,600871831217.0
,,,- Trong đó: Chi phí lãi vay,23,,238.344.431.747,368.545.679.548,,23.0,,238344431747.0,368545679548.0
8.,8.,8.,Phăn lãi trong công ty liên kết,24,,439.027.114.689,71.085.355.123,,24.0,,439027114689.0,71085355123.0
9.,9.,9.,Chi phí bán hàng,25,,2.047.833.577.540,3.074.637.403.520,,25.0,,2047833577540.0,3074637403520.0
10.,10.,10.,Chi phí quản lý doanh nghiệp,26,,3.553.288.111.032,3.441.128.714.059,,26.0,,3553288111032.0,3441128714059.0
11.,11.,11.,Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)+24-(25+26)),30,,3.799.831.155.588,4.219.952.065.595,,30.0,,3799831155588.0,4219952065595.0
12.,12.,12.,Thu nhập khác,31,,60.448.926.027,101.847.192.667,,31.0,,60448926027.0,101847192667.0
13.,13.,13.,Chi phí khác,32,,2.677.526.409,66.681.480.755,,32.0,,2677526409.0,66681480755.0
14.,14.,14.,Lợi nhuận khác (40=31-32),40,,57.771.399.618,35.165.711.912,,40.0,,57771399618.0,35165711912.0
15.,15.,15.,Tổng lợi nhuận kế toán trước thuế (50=30+40),50,,3.857.602.555.206,4.255.117.777.507,,50.0,,3857602555206.0,4255117777507.0
16.,16.,16.,Chi phí thuế thu nhập doanh nghiệp hiện hành,51,32,599.214.896.970,698.493.915.640,,51.0,32.0,599214896970.0,698493915640.0
17.,17.,17.,Chi phí thuế thu nhập doanh nghiệp hoãn lại,52,32,24.390.517.191,28.509.947.486,,52.0,32.0,24390517191.0,28509947486.0
18.,18.,18.,Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),60,,3.233.997.141.045,3.528.113.914.381,,60.0,,3233997141045.0,3528113914381.0
,,,Trong đó:,,,,,,,,,
18.1,18.1,18.1,Lợi nhuận sau thuế của Công ty mẹ,61,,2.620.178.631.986,2.931.530.862.562,,61.0,,2620178631986.0,2931530862562.0
18.2,18.2,18.2,Lợi nhuận sau thuế của cổ đông không kiểm soát,62,,613.818.509.059,596.583.051.819,,62.0,,613818509059.0,596583051819.0
19.,19.,19.,Lãi cơ bản trên cổ phiếu,70,33,3.903,4.457,,70.0,33.0,3903.0,4457.0
20.,20.,20.,Lãi suy giảm trên cổ phiếu,71,,3.903,4.457,,71.0,,3903.0,4457.0
